companyName,description,countryOfCompany,categoryOfCompany,email,
IDUN Technologies AG,IDUN Technologies Ltd. is developing brain-sensing Hearables. The company develops a neurointelligence platform to continuously monitor brain waves from the ear canal and translate raw signals into actionable insights. These insights are being used by partners to personalize their products and service and close the neurofeedback loop.,Switzerland,"Artificial Intelligence,Digital Health,Fitness and Wearables,IoT/Sensors,Wellness Technologies",,
IEEE,,United States of America,Education,,
iGlass USA Inc,"iGlass USA inc is a leading Silicon Valley display technology company providing innovative Big-Screen-Size, Small-Form-Factor, Light-Weight & Comfortable AR/XR glasses, with laser projector type of UltraSharp and Vivid visual quality, at an affordable price. 

iGlass, the world's sharpest AR-glasses, for replaceing Movie Theaters and TVs!",United States of America,"AR/VR/XR,Gaming and Esports,IoT/Sensors,Mobile Hardware and Accessories,Video Technologies",sam@iglassus.com,
"EAROS, Inc.",,United States of America,,,
Earsquared,"Earsquared is a French company  that designs, develops and markets innovative open-ear audio devices.
Earsquared therefore wishes to offer an alternative to the usual portable audio devices and to free people from all the constraints of isolation or ear pains while keeping a good quality sound.",France,,,
Easyship,,United States of America,,,
Eaton,,Switzerland,,,
"Echelon Fitness Multimedia, LLC",,United States,Sports Technology,rianne@echelonfit.com,
Echo Healthcare,"Our mission is to improve patient outcomes and save lives through innovation, education and technology.

We believe your programs should be built around your needs and not restricted by the limitations of a simulator. Echo Healthcare provides ""a circle of innovation"" with solutions that can be tailored to your educational needs.",United States of America,,info@echosimulation.com,
Ecotron LLC,"Specialized in automotive electronics, Ecotron manufactures controllers for electric and autonomous vehicles. Ecotron brings high-tech, automotive grade controllers to small manufacturers at affordable prices. With the state-of-the-art technologies, scalable semiconductors, and model-based design toolchain, we help our customers speed up",United States of America,Vehicle Tech,info@ecotron.ai,
Edge by Ascential,"The world's largest brands trust our data, analytics and consulting solutions to inform their ecommerce-driven retail strategy, optimization and performance measurement.

We pride ourselves on having accurate and comprehensive data and insights that you can rely on.",United States,,info@ascentialedge.com,
EDGE Sound Research,EDGE Sound Research re-imagines audio experiences by building sound systems that allow users to both HEAR and FEEL sound in hi-fidelity.,United States of America,"Audio Technologies,Entertainment and Content,Gaming and Esports,Home Entertainment Hardware,Startups",info@edgesoundresearch.com,
Edgehog,,Canada,,,
EdgeLeap B.V.,,Netherlands,,,
EDmicBio Inc.,,South Korea,,,
effa,,United States of America,,,
Efficient Power Conversion,"EPC is the recognized leader in medium voltage GaN technology.

Over 60 discrete transistors and ICs available for off-the-shelf delivery.

In production in automotive, industrial, telecom, medical, and Hi-Reliability applications since 2010.

Proven Reliability – Over 123 billion device hours in the field.",United States,,,
EIC-EU Pavilion,,Belgium,,,
EK Cooling Solutions LLC,"EK® is the global leader in PC liquid cooling, known for turning ordinary computers into extraordinary machines. The company is the most comprehensive provider of premium custom-liquid-cooling-loop solutions, expanding its portfolio to AIO coolers, plug-and-play gaming PCs, professional workstations, and various industrial applications.",United States,,,
Ekin,"Ekin Smart City Solutions has been pioneering software, hardware, and design with an innovative approach to Smart City management since its inception in 1998. We provide quantitative data to communities based on cutting-edge AI technology, with a focus on traffic management, smart city living, and public safety.",Turkey,"Artificial Intelligence,IoT/Sensors,Smart Cities and Resilience",marketing@ekin.com,
E-Lead Electronic Co. Ltd.,"One of our main strengths is creative technology and customized capability. E-Lead, as Tier 1 supplier, has supplied auto makers with various products, from “Head-up display, ADAS, Instrument Cluster, Display Audio, 3D Around view monitoring system, Wireless Charger to USB Charger …etc in the world.",Taiwan,"Accessories,Car Audio,AR/VR/XR,IoT/Sensors,Vehicle Tech",sales@e-lead.com,
E-Lead Electronic Co. Ltd.,"One of our main strengths is creative technology and customized capability. E-Lead, as Tier 1 supplier, has supplied auto makers with various products, from “Head-up display, ADAS, Instrument Cluster, Display Audio, 3D Around view monitoring system, Wireless Charger to USB Charger …etc in the world.",Taiwan,"Accessories,Car Audio,AR/VR/XR,IoT/Sensors,Vehicle Tech",sales@e-lead.com,
Electra Meccanica Vehicles Corp.,,Canada,"Energy/Power,Investing,Sustainability,Vehicle Tech",,
Elektrobit,"Elektrobit is a global supplier of embedded and connected software products and services for the automotive industry. A leader in automotive software, EB’s software powers over one billion devices in more than 100 million vehicles and offers solutions for car infrastructure software, connectivity and security, automated driving and UX.",United States,,sales@elektrobit.com,
Element Electronics,,United States of America,,,
Elements Works,,Italy,,,
Elidah,"ELITONE® tones weakened pelvic floor muscles externally for women. The tiny device is discreet, comfortable, and used at-home. She receives Kegel (pelvic floor exercise) contractions without doing the work. ELITONE® is FDA-cleared, CE Marked, and clinically proven to reduce bladder leaks. Worn under clothing, while active, makes it EASY.",United States of America,"Digital Health,Family and Lifestyle,Fitness and Wearables,Startups,Wellness Technologies",elidahconf1@gmail.com,
Elite Screens Inc.,Elite Screens Inc. is a US based projection screen manufacturing company with its world headquarters in California and satellite offices around the world. Elite Screens specializes in making cinema-quality projection screens available to even the most modest budgets without compromising on the quality.,United States of America,,,
Elmos North America,,United States of America,,,
eLstar Dynamics B.V.,,Netherlands,,,
EM Microelectronic-US Inc.,,United States of America,,,
EMBIQ,,Poland,,,
EMD Electronics,"EMD Electronics is a business of Merck KGaA, Darmstadt, Germany - a leading science and technology company, operating across healthcare, life science, and electronics. We help shape and transform the lives of humans and society all over the globe. We are the company behind the companies - advancing digital living!",United States,"5G Technologies,Artificial Intelligence,AR/VR/XR,Cloud Computing/Data,Quantum Computing",service@emdgroup.com,
Heatworks,"We’re reinventing ways the world can heat and use water and other liquids. Through our patented, licensable technologies, like Ohmic Array Technology, water and other liquids are heated quickly, at higher volumes, and in the most efficient ways possible. No scaling. No maintenance. Heated water tastes better. Temp control is precise.",United States,"Smart Home and Appliances,Startups,Sustainability",info@heatworks.tech,
Hello Space Co.,,Japan,,,
"HelloFactory Co., Ltd","HelloFactory is a IoT based start-up company enabling the most efficient communication for offline business sectors.Communication platform called 'HelloBell' enables simple, fast, and efficient communication between not only customer and staff, but also among the staff in the bask of the house.",South Korea,"Accessories,Education,IoT/Sensors,Startups",sales@hellofactory.co.kr,
"HelloTech, Inc.",,United States of America,,,
Helm.ai,"Helm.ai is building the next generation of AI technology for automation. Founded in November 2016 in Menlo Park, Helm.ai is pioneering a new methodology, called Deep Teaching, that is enabling the company to train neural networks without human annotation or simulation for the purpose of advancing AI systems.",United States,,info@helm.ai,
Heole,,France,"Energy/Power,Smart Cities and Resilience,Smart Home and Appliances,Sustainability,Vehicle Tech",,
"HERE North America, LLC","HERE, a location data & technology platform, moves people, businesses and cities forward by harnessing the power of location. By leveraging our open platform, we empower our customers to achieve better outcomes - from helping a city manage its infrastructure or a business optimize its assets to guiding drivers to their destination safely.",United States,,,
"Hero Labs, Inc",,United States of America,,,
Hesai Technology,"Hesai Technology is a global leader in 3D-sensors (LiDAR), with a suite of innovative sensor solutions that combine three core strengths: industry-leading performance, manufacturability, and reliability.",China,"IoT/Sensors,Vehicle Tech",info@hesaitech.com,
Hexagon,"Hexagon is a global leader in sensor, software and autonomous solutions. Our reality capture technologies at CES 2021 fuse the physical and digital worlds across applications — from architecture to city management to media and entertainment — to digitally visualize our world and to actualize ideas and designs of how it should be.",United States,,media@hexagon.com,
Hexagro Urban Farming,Hexagro develops modular and scalable vertical farming technologies to bring food production into any interior and reconnect people to nature.,Italy,"IoT/Sensors,Smart Home and Appliances,Startups,Sustainability,Food Technology",hello@hexagro.io,
Hiber B.V.,"Hiber is is a scaleup company offering satellite-based IoT solutions to monitor assets anywhere in the world. Hiber delivers cost-effective, easy-to-use solutions, including HiberHilo for oil and gas well integrity monitoring, and HiberEasypulse for asset tracking and fleet monitoring.",Netherlands,"IoT/Sensors,Smart Cities and Resilience,Startups",info@hiber.global,
Highest Rated Wireless Inc.,,United States of America,,,
Hikari Group,,United States,"Family and Lifestyle,Startups,Sustainability,Travel and Tourism,Wellness Technologies",contact@mebottle.com,
"Hippo T&C, Inc.",,South Korea,"Artificial Intelligence,AR/VR/XR,Digital Health,Wellness Technologies",,
"Hisense Visual Technology Co., Ltd","For over 50 years, Hisense has adhered to the core values of integrity, innovation, customer focus and sustainability to discover and bring the best new technologies to consumers. As the third largest manufacturer in the world, Hisense continues to be a leader in the industry and committed to prioritizing value, quality and performance.",China,,,
"Hisense Visual Technology Co., Ltd","For over 50 years, Hisense has adhered to the core values of integrity, innovation, customer focus and sustainability to discover and bring the best new technologies to consumers. As the third largest manufacturer in the world, Hisense continues to be a leader in the industry and committed to prioritizing value, quality and performance.",China,,,
Hiventive,,France,"IoT/Sensors,Sourcing and Manufacturing,Startups",,
Hmd US,,Finland,,,
Holo Industries LLC,,United States of America,,,
"Holoever Technologies Co., Ltd",,China,,,
Honey IT Inc,"Honey IT, We are specialized manufacturer in Wellness electronics from Korea.
Since 2015, We making a lot of effort to provide healthy and safety electronics.

Now, the 'Znie' will be launched in CES. Experience the new sleep technology with Znie's ELF(Extremely Low Frequency) and LED Color Therapy.",South Korea,,,
Hong Kong Trade Development Council,,United States of America,,,
"Hongji Intelligent Bike Co., Ltd.",,China,,,
House of Marley,Sustainably Active Audio. Eco-conscious audio products created in collaboration with the Marley family to carry on Bob Marley’s legacy of love for music and planet.,United States of America,"Accessories,Audio Technologies,Home Entertainment Hardware,Sustainability",,
HRCOFFEE srl,"Hrcoffee is an innovative Italian startup.
Hrcoffee has developed a new bottom-up management model of people and knowledge that puts them at the center and puts their skills at the center to develop growth strategies. Hrcoffee develops people management and people analytics processes, exploiting lA and cognitive intelligence.",Italy,"Artificial Intelligence,Startups",info@hrcoffee.it,
"Hubdic Co., Ltd.",,South Korea,Digital Health,,
"Huizhou Foryou General Electronics Co., Ltd.",,China,,,
"Huizhou Foryou General Electronics Co., Ltd.",,China,,,
Human IT Solution,"Human IT Solution Co., Ltd., an IT specialized company, is striving under the management philosophy of “a company that realizes humanism united with IT” to
become the world’s best knowledge information partner.",South Korea,"Artificial Intelligence,AR/VR/XR,Cloud Computing/Data,Digital Health",2876633@hmit.kr,
Fanstel Corporation,,United States of America,,,
Fanstel Corporation,,United States of America,,,
Farplas Otomotiv A.S.,"Farplas is a full system solution partner to the automotive industry, striving for excellence in the manufacturing and development of innovative polymer systems

Farplas researches, develops and manufactures superior automotive polymer systems, provides innovative solutions and implements state-of-the-art technologies for future mobility",Turkey,"Investing,Vehicle Tech",info@farplas.com,
Fasteesh Y-Brush,"Y-Brush automatically deep cleans your teeth the way dentists recommend them to be cleaned in just 10 seconds using vibrations and 35,000 nylon bristles which fit your jaws.
Our products are sold to the mass market and to medical establishments (nursing homes, homes for dependent or special needs people, etc.).
Toothbrush Oral Care Dental",France,,contact@y-brush.com,
Fastpong Corp.,Our patented technology is revolutionizing table tennis at both professional levels and as a recreational sport by digitalizing table tennis for the first time. We have developed hardware that tracks and improves performance for professionals while gamifying the sport for others.,South Korea,"Fitness and Wearables,Home Office Hardware and Accessories,IoT/Sensors,Sports Technology,Wellness Technologies",team@fastpong.ai,
Ferr-Tech,,Netherlands,,,
Fiil Bikes,"Fiil Bikes developed the world’s advanced electric assist cargo bike. Could become the Tesla of e-Cargo bikes, without a doubt, will be going to become a preferred transportation. This trend has been increasing while Van sales has been steadily decreasing. Reasons including, an increase in air pollution, environmental awareness.",United Kingdom,"Investing,Smart Cities and Resilience,Startups,Sustainability,Vehicle Tech",hello@fiilbikes.com,
Filo Srl,Filo is a smart tech company operating in the IoT business. Tata is a baby IoT consumer brand of Filo which aims to give parents the right tools to face modern family challenges The first product is Tata Pad: a smart cushion for baby's car seats that prevents a child from being left in the car thanks to its adaptive smart alarm system.,Italy,"Family and Lifestyle,High-Tech Retailing/E-Commerce,IoT/Sensors,Startups,Vehicle Tech",info@getmytata.com,
First Ascent Inc.,"First Ascent is a BabyTech company, using big data for childcare.
We are  collaborating with the National Center for Child Health and Development ,one of the most prestigious childcare research centers in Japan.
We are developing the world's first AI-powered sleep training device named ""ainenne"", which won the CES 2021 Innovation Awards.",Japan,,,
Fisker Group Inc.,,United States of America,,,
Fledging LLC,"On a mission to bring premium electronics to everyone

We cracked open Mac with a powerful, affordable SSD upgrade. Then we built the world's best Thunderbolt 3 SSD Enclosure. Now we've launched the last iPad accessory you'll ever need - Hubble for iPad. 

Come take flight with Fledging!",United States,,ces@fledging.net,
Flexound Augmented Audio,,Finland,,,
Flextech Company,,China,"5G Technologies,Energy/Power,IoT/Sensors,Smart Cities and Resilience",,
Flovea,,France,"Smart Cities and Resilience,Smart Home and Appliances,Sustainability",accueil@flovea.fr,
Fluent.ai,"Fluent offers embedded, noise robust and multilingual speech understanding
software for consumer device OEMs. Our patented speech-to-intent
technology runs fully offline in small footprint, low power devices and can
support any language or accent, providing OEMs an intuitive and
private-by-design voice user interface for any device.",Canada,"Artificial Intelligence,Audio Technologies,Fitness and Wearables,Smart Home and Appliances,Startups",,
"Fluo Labs, LLC",Fluo Labs’ breakthrough health & wellness consumer device will dramatically transform how people treat their seasonal allergies. Our patented device uses light therapy to provide affordable and drug-free relief from hay fever symptoms which can cause discomfort and severely impact the quality of life of a billion+ individuals worldwide.,United States,,hello@fluolabs.llc,
"Fly Cat Electrical Co., Ltd.","Fly Cat Electrical Co., Ltd., founded in 2012, is located at Shenzhen with an area of 15,000 square meters. Fly Cat is a high-tech enterprise specialized in production of oral and nasal irrigators. Our products have obtained RoHS, UL, CE, FDA, IPX7 and other certifications.",China,"Accessories,Digital Health,Family and Lifestyle",xl@fly-cat.com.cn,
Flywallet,"Flywallet is an innovative startup that connects payment, mobility and health services by enclosing them in a single ecosystem and putting safety first, thanks to biometrics and proprietary wearable and IoT technologies.
Our wearable, Keyble, thanks fingerprint authentication allows you secure payments and access to all digital services.",Italy,,info@flywallet.it,
Foodetective,unified API for the restaurant industry,Switzerland,"Startups,Food Technology",hello@foodetective.co,
Forciot,"FORCIOT is a Finnish tech company that designs high quality sensor based IoT solutions. Forciot’s unique stretchable electronics solution can be integrated into products and equipment to measure and report accurately force, weight, balance and pressure. It can be utilized also as an HMI controller when integrated into e.g. car interiors.",Finland,"5G Technologies,Blockchain,IoT/Sensors,Startups,Vehicle Tech",,
"Foreseeson Custom Displays, Inc/Ophit",,United States of America,,,
Foretellix Inc.,"Verifying Automated Driving Systems for Safe, Large-Scale Deployment",Israel,"Startups,Vehicle Tech",info@foretellix.com,
Forever Gifts Inc.,"Nuvelon is a Consumer Electronics division of Forever Gifts which is 17 years old company with so many experiences selling to major retailers like Walmart, Kohls, Costco etc.  Nuvelon has several patented newest products that we will launch in Spring 2022 that we are excited to show it during CES 2022.",United States of America,"Accessories,Audio Technologies,Family and Lifestyle,Smart Home and Appliances,Sourcing and Manufacturing",wijaya@forevergiftsinc.com,
Foreverly,,United States of America,,,
Formlabs,,United States,,sales@formlabs.com,
Formlabs,,United States,,sales@formlabs.com,
Foxble LLC,,United States of America,,,
FPT Industrial S.p.a,,Italy,,,
Frameplay,,United States of America,,,
Fraunhofer FEP,,Germany,,,
GetWireless,,United States of America,,,
GIGABYTE Technology,"GIGABYTE is an engineer, visionary, and leader in the tech world that uses its hardware expertise, patented innovations, and industry leadership to create, inspire, and advance. With over 30 years of celebrated experience, GIGABYTE provides the industry with data center expertise to accelerate scientific and technological breakthroughs.",United States of America,"5G Technologies,Artificial Intelligence,Cloud Computing/Data,IoT/Sensors,Smart Cities and Resilience",,
Glass Acoustics Innovation Technology (GAIT),"Glass Acoustic Innovations Technology (GAIT) is dedicated to implementing and commercializing the technology of Glass Diaphragm. Glass Diaphragm is high sound speed, rigid, ultra thin, low density, non toxic, etc. and exclusive unique features such as waterproofing-nature and illumination aesthetics.",Taiwan,"Audio Technologies,Car Audio,Home Entertainment Hardware,Sourcing and Manufacturing",info@gai-tech.com,
Global Tone Communication Technology (Qingdao) Co.,,China,,,
GlobalM,"GlobalM is for media organizations, content creators and curators who stream Live in broadcast quality, increasingly need content and remote production solutions, but have budget constraints. We provide an innovative and professional video platform connecting all types of media and GlobalM provides the complete solution with CDN and SRT.",Switzerland,,hello@globalm.media,
Glytch Gear Inc.,,United States of America,,,
"Goldsun Electronics Co., Ltd.","As a manufacturer and Trader of Electronics devices, Tool equipements since 1990. Goldtool is currently based in New Taipei City, Taiwan and service in 60 countries across Asia, Europe, Africa, the Middle East , United States and Latin America markets.",Taiwan,Accessories,goldsun@goldtool.com,
"Good Way Technology Co., Ltd.","Good Way, the world leading PC peripheral manufacturer and Smart Workspace solution provider. We offer Thunderbolt 4/ USB4 / USB3.0/ USB-C Dock, video adapter, as well as IoT solutions, which focus on smart indoor tracking  for people traffic and asset management in term of flexible API  connection and vertical integration.",Taiwan,"Accessories,Audio Technologies,Home Office Hardware and Accessories,IoT/Sensors,Smart Cities and Resilience",sales@goodway.com.tw,
Goodbyecar Corp.,"Eco-friendly startup Goodbyecar Corporation is specialized in upcycling electric vehicles. Goodbyecar's portable power stations, with its own brand, BASTRO, has a 2,000wh capacity with an internal smart battery management system. New baretool type 1,500wh with electric motorcycle battery is available at CES 2022.",South Korea,"Energy/Power,Family and Lifestyle,Smart Home and Appliances,Startups,Sustainability",sales@bastro.net,
GoodMaps,,United States of America,,info@goodmaps.com,
Google LLC,,United States of America,,,
Google LLC,,United States of America,,,
Google LLC,,United States of America,,,
Govee Moments Limited,"Govee creates cutting-edge LED lighting and smart home devices, including industry-leading RGBIC tech for displaying multiple colors simultaneously. Products can be connected together and controlled wirelessly with Govee Home App, and many include Alexa and Google Assistant compatibility.",Hong Kong SAR,"Gaming and Esports,Home Entertainment Hardware,IoT/Sensors,Smart Home and Appliances,Vehicle Tech",marketing@govee.com,
GoVoBo,,United States of America,"Accessibility,Audio Technologies,Cloud Computing/Data,Education,Startups",,
"gpower, inc.",,United States of America,,,
GPS Tuner Systems Kft.,"GPS Tuner provides full-scale software and connectivity solutions for e-mobility OEMs. Be it an e-bike or an electric scooter, or even an electric car, our small footprint and cost-effective connectivity adapter paired with our while label application and robust backend gives a true connected IoT experience to our customers.",Hungary,"5G Technologies,Cloud Computing/Data,IoT/Sensors,Smart Cities and Resilience,Vehicle Tech",info@gpstuner.com,
"Grace (Ningbo) Smart Technology Co., Ltd.",,China,,,
GrAI Matter Labs,"Introducing GrAI VIP, Vision Inference Processor, a full-stack AI system-on-chip that drives a significant step in fast responsiveness for robotics, industrial automation and more.  Named 2020 Innovator of the year by Kisaco Research, GML helps customers transform their edge capabilities. Join our Early Access program to get started.",United States,,info@graimatterlabs.ai,
"Groove Health, Inc.",,United States of America,,,
Group West International,,United States of America,,,
GROV Technologies,"Grōv Technologies is pioneering automated controlled environment agriculture (CEA) science and technology to help meet the demands of global food security. The company has developed enterprise scale systems and growing protocols to consistently produce high-density nutrient feed, or HDN Superfeed™.",United States of America,,grov.media@grovtech.com,
GTR Simulator,,United States of America,,,
"Guandong Esino Technology Group Co., Ltd.",,China,,,
"Guangzhou ADS Audio Science & Technology Co., Ltd",Manufacturer of Portable Speakers and Home Theatre,China,"Audio Technologies,Home Entertainment Hardware",ads@adsaudio.cc,
Guangzhou EZVALO Technology Company Limited,"EZVALO Technology was founded in November 2018. Beginning with a series of smart home lighting solutions, we have been hammering at lighting up the beauty in every corner to offer you the coziness at home. We are developing products that can improve the lives of all who are involved.",China,"Audio Technologies,Family and Lifestyle,Smart Home and Appliances",info@ezhousetech.com,
"Guangzhou Veaqee Electronic Co.,Ltd.",,China,,,
GuardKnox Cyber Technologies Ltd.,"GuardKnox, the first Cybertech tier supplier, is a technology & engineering company specializing in E/E products and solutions for the automotive market. GuardKnox’s secure, flexible & scalable solutions enable added connectivity, Zonal E/E Architecture, application hosting, high-speed routing, and vehicle personalization.",Israel,"AR/VR/XR,Cloud Computing/Data,Cybersecurity,Startups,Vehicle Tech",info@guardknox.com,
Guillemot,,Canada,,,
"Gurtam, Inc","Gurtam is an international developer of Wialon, the platform for GPS tracking and IoT. The system is compatible with over 2,600 types of telematics devices, is used in more than 150 countries with 3,000,000+ units being tracked worldwide.",United States,"IoT/Sensors,Vehicle Tech,Video Technologies",office_boston@gurtam.com,
Gyeonggi Content Agency,"Established in 2001, Gyeonggi Content Agency(GCA) is a government organization of Gyeonggi-do, the No.1 local province in Korea. Our mission is to support content industry of Gyeonggi-do. GCA has dedicated to supporting all categories of content genre(Animation, Cartoon, Character, Game and VR/AR etc.) to start-up acceleration.",South Korea,,,
"Etron Technology, Inc.","The product ranging from Application-Driven Buffer DRAM, Known-Good-Die Memory (KGDM), RPC® DRAM & ; USB Type-C, Power Delivery, Audio Video capture, SuperSpeed USB, USB-IF Complied and 3D Depthmap cam processors, AR, VR, AI, ML, 3D Robot, 3D scan. Etron is a world-class fabless IC and Heterogeneous Integration (HI) Silicon design house",Taiwan,,,
Eunsung Global Corp.,,South Korea,,es@esglobal.co.kr,
Euro Communication Equipement SAS,,France,,,
E-valucon,"E-valucon Inc. is a connector, antenna, and cable assembly manufacturer and solutions provider for Electric Vehicles, Security, Medical, Telecommunication, Broadcasting Audio/Video Unit, Vision Camera, Factory Automation and General Industrial Applications. The company provides a full range of manufacturing and assembly solutions.",United States,,info@evalucon.com,
EVAR corporation,"World’s First Developer of EV Autonomous-Recharging Robot, start-up backed-up by Samsung Electronics. We provide advanced EV Charging Concept and technology solution for limited EV parking spot by EV Automatic-Recharging Robot, Mobile EV Charger, EV Charging Truck, load-balancing Smart EV Charger. We dream Charge Anxiety Free World!",South Korea,"Energy/Power,Robotics,Smart Cities and Resilience,Sustainability",contact@evar.co.kr,
EVBox B.V.,,The Netherlands,,,
Eve,,United States of America,,,
Evergreen (CP) USA / Chung Pak Battery Works Ltd.,,United States of America,,,
Evergreen (CP) USA / Chung Pak Battery Works Ltd.,,United States of America,,,
Evocargo,"Evocargo is an innovative global logistics company and a pioneer and leader in manufacturing and implementing autonomous
 all-electric/hydrogen-based ""in hub"" delivery vehicles in indoor and outdoor premises, offering customers a full range of logistics services tailored for each customer's logistics ecosystem",United Arab Emirates,"Artificial Intelligence,Investing,IoT/Sensors,Robotics,Vehicle Tech",info@evocargo.com,
Evosonics,"Evosonics creates unrivaled technological innovation of acoustic wave vibration massage.
Evosonics studies an optimized neurofeedback technology for activating the tissues of degenerated cells and controlling mind through sound.",South Korea,"Audio Technologies,Digital Health,Family and Lifestyle,Home Entertainment Hardware,Wellness Technologies",marketing@evosonics.com,
EVVR Life,"At EVVR, we are transforming the way that people live, work and play by developing truly intelligent automation tools that enable people to live genuinely efficient lives.",China,"IoT/Sensors,Smart Home and Appliances",,
Exaion,"Exaion, an EDF subsidiary, is specialized in cloud provision of blockchain, HPC and AI solutions. It offers ISO 50001-certified infrastructures and, through activity planning, a reduced carbon footprint. All its assets are based in France and benefit from EDF’s high standards and cyber security.",France,,contact@exaion.fr,
Exos srl,"At Exos we use advanced materials and additive manufacturing technologies to create breathable, comfortable and highly customisable orthopedic back braces and biomedical devices.

Our aim is to give access to affordable, high-quality medical devices to people of all ages around the world.",Italy,"Digital Imaging and 3D Printing,Digital Health,Fitness and Wearables,Startups,Wellness Technologies",jacopo@exosarmor.com,
ExportTek,,United States of America,,,
Express Luck Industrial Ltd.,,China,,,
