text,date,
" عزيزي MOH يسعدني جدا مرورك في صفحتي, ولو كان الموضوع ضايقك شوى, فهذه الحقيقه اخي والحقيقه دائما مره  لذلك الموضوع من اسمه بعيد عن التحييز فنحن نريد أن نعرف مدى معاناة الشعب السعودي العامل بالقطاع الخاص من العمالة الوافدة والأجنبية في هذا الموضوع ولم نذكر اي شي يضايق الشعب الأردني الشقيق  اخي الكريم اهلا وسهلا بك في منتديات البطالة في السعودية ويسعدني ايضا اذا رأيت لك مشاركات معنا بالمنتدى ,, والسلام عليكم .",09-2007,
 اخي الكريم اشكرك على طرح هذا الموضوع وانا اشيد بفكرته انا موظف قطاع خاص فوالله الذي لا اله الا هو اني اعاني يوميا من الاجانب في عدم اعطاء المعلومه والمساعده وفي تشويه سمعتي عند المدير وفي وضعي في مشاكل يفتعلونها يوميا والمعاناه اعيشها كل يوم والسبب اني ابن هذه البلاد التي فتحت ابوابها لهم وساعدناهم في محنهم واحتضناهم في الوقت الذي تخلت عنهم دولهم اخي الكريم الجراح كثيره والوطن يبتسم والمسئولين نائمين في سبات عميق والطريق في وجوهنا يضيق والمستقبل معتم ونحنوا مستعمرون من الاجانب فلست اعرف هل احزن على الوضع المتردي الذي وصل اليه بلدي في الانبطاح للاجنبي ام اكون اناني واهتم بنفسي كثير هي الهموم والاوجاع فارجوك ان تجعلني استمتع باجازة اخر الاسبوع التي اعيشها مهموم بسبب مااتعرض له من مضايقات كل يوم فالكلام في هذا الموضوع يتعبني جدا,09-2007,
      ممتاز جدا ً ..  هذا معناه .. ان جميع السعوديين الذين يعملون في قطاع خاص  لا يوجد لديهم مشاكل  !!!  ابونوره   ,09-2007,
 اشكرك على طرح الموضوع وانا باذكر المضايقه الوحيده من الاجانب في العمل طال عمرك اشتغلت سنترال يوم كان معي شهادة ثاني ثانوي في فندق كبير في جدة خمس نجوم المهم اول يوم جيت لقيت الي جنبي مصري وهو قلك الي يبي يدربني ويوم يجي اول اتصال وابي احول المكالمة  ضغط 6 الي هو رقم التحويل وجالس ادور على رقم التحويله شوي نط اخونا في الله وحول المكالمه وقال اي ده انتى غبي ياله قلتله هيه من متى المعرفه الغبي انت واشكالك سكت قلتله لاعاد اسمعك تغلط والا والله تشوف شي مايرضيك ورحت يم واحد سوداني وخليته يعلمني وبعدها المصري صار محترم جدا  معي هو وغيره والحمد لله صرت اسرع منهم في التحويل  وهذه قاعده كله الا الكرامه,09-2007,
" ماعليه شباب لازم نشيل هموم بعض  حنا هنا والله محدا حاس فينا يعني نطلقها اربع اربع دموع ونفضض لبعض لين يفرجها ربك  وانشالله الفرج عما قريب ,,",09-2007,
 الاجانب دمرونا .. واللي يزيد الطين بله .. مدير الشركه او صاحب الشركه يقول الاجنبي يشتغل احسن منك يالسعودي .. واللي يشوف المدير يقول امريكي مادرى انه مثلي سعودي واشتغل افضل منه .. لكن اذا وجدت المحفزات ^_^  . . . .  اول ماأشتغلت في الشركه .. الواقعه في قلب الرياض طبعا كلهم اجانب مافيه الا انا  والمدير تبعنا اجنبي .. ويفضل عيال ديرته علينا .. والله ياعالم .. اول ماأشتغلت يناظرني بنظرات حاده  .. المهم المدير صاحب الشركه .. شاف شغلي وادائي بالشغل اثنى علي .. ويقول ليت السعودين مثلك .. ماشاء الله علي  .. بس من يومهاكشروا عن انيابهم الاجانب .. وجلست معهم سنه كامله وانا وياهم مشاكل وطلق نار  يعني شفت الظلم بعيني .. ولما اشتكي .. وش يكون الرد .. اشتغل بضميرك  واللي يزيد الطين بله .. صاحب الشركه السعودي المدير الموقر الله يحفظة ويهديهانه يقول علموه الشغل وعلموه كل شي .. والله المعلومه تسحبها من فم الاجنبي سحب الله المستعان .. والله لي اكثر من اسبوعين ماسيرت عليهم ساحب السيفونويقولون تعال .. بس والله ياجماعه ماعاد اقدر اشوف الظلم والسرقات اللتي تصير في الشركة الى متى المهزله هذه صايرة   يعطيك الف عافيه على الموضوع,10-2007,
" اشكال يعطيك العافيه على التعقيب والمرور ولاكن لازم نبين لهم العكس ... يعنيى لانيأس ولو طفشوووووووووووووووونا نجلس على كبودهم  ترا يستانسووووووووووووون اذا تذمرنا من الشغل او طلعنا او استقلنا عشان كذا ؟ ندبل كبووووووووووووووووووودهم ,,,",10-2007,
 طيب مشكلتي في العمل هي  بعد البحث الطول عن وظيفة و الذي دام مدة من الزمن و الحقيقة اني ما جلست عاطل اشتغلت عدة شغلات بس هذي مو طموح جامعي المهم ربي رزقني الوظيفة اللي رحت بقدم لها و بسرعة خلصوا اوراقي و تم تحويل الى الفرع الجديد اللي في منطقتي و الحقيقة فرحت جججججججججججدداًً1/وظيفة افضل من الحال اللي انا فيه 2 / في منطقتي  قلت جات و جابها الله و اولا كان رايسي بنغالي و الحقيقة علمني اشياء كثيرة يعني استفدة منه و ما قصر ويياي بس هذا مو علشششششششششان سواد عيوني او اني سسعودي طبعا لالالالالا والسبب هو انه لعاب و لا يشتغل لانه ناقلينه من منطقة ذات حيوية الة منطقة ريفية بعد فترة غيروه و جابولي مصري لا يفهم و اخطائه كثيييرة ( و علماني مرررررررررررة ) ودوم يدعي انه فاهم بعد فترة اشتكينا عند المدير العام و ما نفع فا شتكينا عند اصحاب الحلال و الرد العجيب صبروا عليه لين يتعلم يعد ما زادت اخطائه نقلوه وسلمونا المكان بدل منهم بس طبعا بدون الامتيازات اللي كانو يحظون بها مرة قرابة السنة و حنا مستلمين القسم و لا اخطاء مالية و لا ادارية بس تعرفون شكان جزائنا تخيلوا شنهو  طيعا الانتقاد ثم الانتقاد ثم الانتقاد الى ان سلمنا الادارة للقسم بعد ظمها الى اقسام اخرى حتى لا يكون رئيس قسم سعودي طبعا هذا كله من تخطيط البنغالي و حط علينا رئيس هندي لاهو فام شيئ بس يتكلم عن نفسه انه سوى و سوى و ان له 25 سنه بالسعودية و فاهم كل شيئ ما ادري اعنبوه يبي يموت هنا و المشاكل معاه مستمرة و لا يقدر يشتكيني لانه داري اني بفضحة انه ما يعرف شيئ و لا اقدر اشتكيه لان قبل ما اوصل للمدير العام للمجموعة راح اصادف احبابه و اصحابه و انا متاكد انه يدبر لي شيئ علشان يزيحني عن طرقة لان بصراحة انا الوحيد اللي واقف في وجهه في القسم و انا اقدم واحد موجود . دبروني و ش اسوي,10-2007,
" السلام عليكم,,, شكرا على اتاحة هذه الفرصة للأكتب ليكم قصتي وانا عملت في شركة قبل فترة طبعا مديري اجنبي هو باكستاني الجنسية  طبعا هو كل معصب ويعمل كل يوم مشاكل  وكل شيئ يصير يقول للمدير انا الي سويت يحط كل شئ على راسي الى انا تركت العمل بسببه وافتكيت من الشغل مع الاجانب,,,,,, وشكرا على موضوعكم هذا,,,,,,,,",10-2007,
 انا والله اللي شفته منهم احقتار كبير للسعودية من تجي تقدم وكأني ماخذه حلال ابوها..ومن تتكلم معي تتكلم بغطرسه ...لدرجة احس اني محتقرة ومرتين قدمت على وظائف وما رجعت للوظيفة .. انا اخص منهم الجنسية السورية واللبنانيات>>> فقرانين وينافخون.. ودي اسوي لهم اباده,10-2007,
 شووووو طول  بااااااالك يازلمهشو احنا يالزلمات الي مشغلين البلد شوو ابو شكيم ياشباب الاجانب وخاصه الزلمات يازلمه فيهم لئم وحسد ومعاملتهم سيئه وعايشين احسن من عيشت ابن البلد شوووو يازلمه اذا فيك خير رح لديرتهم وقل حرف واحد ولك يازلمه بيعملوك شاورما عربي يالزمه شوووووو لا ويجيك ينافخ هنا والله حنا في ذل.. والقطاع الخاص تسال نفسك ليش يفضلهم لانه الاجنبي اذا ماعجبهم يقدر يعطيه خروج نهائي اما السعودي في ديرته  .. والي يقولك مصاريف السعودي اكثر قله غلطان الاجنبي راتبه اعلى من السعودي يعني اجنبي معه ثنوي راتبه مثل سعودي معه دبلوم وعلى حسب سياسة الشركه هذا غير تجديد الاقامه والجواز واضافه مولود والتذاكر كل هذي على حساب الشركه..والله يعين يازلمه..,10-2007,
 والله ياخوي همك مش احسن من همي,10-2007,
 يجماعه انا عملت 11 سنه ومر على بحدود خمس شركات الشركه الاوله كان صاحبها لبناني ومسجله باسم تاجر سعودي بس ماله فيها شي مره ولا ريال لنهم البنانين فصلوا ابن عمه ما قدر يسوي شي الشركه كلها لبنانين وهنود وبعض السعودين علشان السعوده بس وطبعا السعودين كانو بوظائف دنى مره مثل حارس عامل وعامل نظافه والله كان في شباب من الاحساء سعودين يعملون عمال نظافه وكانو مصخره لبنانين يصخرون منهم وكان وكان يعملون احتفالات يمنع دخول السعودي والهندي وكان مدير الانتاج لبناني مسيحي يمنع الصلاه في وقتها وكانو يسخرون من الدين الاسلامي لان الشركه يملكها لبناني مسيحي وكان السعودي بس بالاسم وكان في لبناني يقولي ليش تعمل بشركه اجنبيه روح شوف شركه ثانيه انا طبعا قلت له دام الشركه بالسعوديه فانها سعوديه وتتبع النظام السعودي هذي الشركه الاولى الشركه الثانيه كانت ملك اثنين سعودين اخوان يحبون التفاخر طبعا نسبة السعوده عندهم قليله جدا فقامو وسجلو ابنائهم واخوانهم واقاربهم بالشركه وهم اصلا ما يعملون يدرسون بس علشان تزيد نسبة السعوده وكانو يعملون شركات وهميه للحصول على فيز الشركه الثالثه شركا كبرى يعمل فيها هنود برواتب كبيره جدا من خمس الاف على ثلاثين الف مديرنا الان ثلاثين الف ريال هندي الجنسيه يكره السعودين كره ابليس ويحتقرهم احتقار كبير ويحتقر الوضع بالسعوديه مع العلم انه لمى جاء السعوديه كان راتبه ثلاث الف ريال والان ثلاثين الف ريال . ايش نتكلم ايش نقول خلونا ساكتين احسن لا حياة لمن تنادي,10-2007,
 والله ياشباب ان الأغلبية من السعودين الموظفين في القطاع الخاص يحسون بمعاناة بعض وكلنا عارفين مايكلفه الأجنبى على صاحب الحلال من تذاكر سفر وبدل سكن ورسوم دولة ( كتجديد الأقامه ونقل الكفاله وغيرها ) وبدل لغه حتى للعرب اللى يتكلمون عربي يعطونهم بدل لغه والله مهزله من جد. في دراسة سوتها احدى الجامعات السعودية ( عن لقطاع الخاص ) يقولون فيها ان مصاريف الموظف الأجنبى في السنة الواحده متوسطها ( 10000)من غير الراتب  والموظف السعودى متوسطها (2000 )من غير الراتب الشهرى طبعا بس تأمين طبى وتأمينات اجتماعيه شفتو الفرق طبعا هذا غير البلاوى والتغيرات اللتى تحدث في المجتمع السعودى بسبة هالأجانب ( طبعا لما اتكلم عن اجانب يعنى الغير خليجي مهما كانت جنسيته ) بأذن المولى عز وجل خلال خمس سنوات الجايه مانشوووف ولا أجنبى هنا ويكون كل الموظفين سعودين اصل وفصل ويكفينا شر الأذناب .. وننتظر ردود البقيه الباقية من الأعضاء ,10-2007,
 اها بس معناتي ومعناه صديقاتي بالقسم حنا معلمات بقسم رياض اطفال والمدرسه والاداره للاجانب يطلعون عيونا علشان يبغون يطلعونا تخيلو جلست سنه عندهم وجددت العقد قلت اخذ خبره سنتين احسن لي من اني اتنقل من مدرسه لمدرسه بما انه كل المدارس الاهليه نفس المعاناه المهم من جينا نستلم الراتب اقول وين الزياده قالو مافي زياده قلت لهم انا موقعه عقد كل سنه تزيدون خمسين ريال قالو لي تحسبيين خمسين ريال شويه انتي خمسين والباقين خمسين كم توصل شوف سخافاتهم وشي سويت ماستلمت الراتب خليته عندهم من جاء الشهر الا بعده قلت وين الزياده عطوني بس 25 ريال اقول بس 25 ريال قالو ايه مع راتبي حق الشهر الاول عطوني اياه قالو لاتعلمين احد من الموظفات... شفتو كيق يلعبون علينا حنا يالضعوف انا مابغى الا خبره وبس بس عاد لاتذلونا وحنا بديرتنا والله انا شاكه انه الا تسلمنا الرواتب تسرقه الخمسين حقت كل معلمه ...حسبي الله على كل ظالم.......,11-2007,
 الله ايعينكم يا شباب السعودية على هالأجانب اللي ما خلوا لنا مكان نشتغل فيه كل ما تروح لشركة قالك عندك لغة او خبرة والأجنبي يجي باردة امبردة ويشغلونة والسعودي جالس في البيت ينتظر الفرج. بس حبيت اضيف حاجة ان اغلب الأجانب فيهم خسة ونذالة بحيث لو بقيت اطور نفسك ما يعلمونك ولا يعطونك فرصة نهائياُ والله ايعينة على هالأجانب.,11-2007,
" صدقوني أحنا معطين  هالأجانب أكبر من حجمهم  وأحنا اللي نستاهل لأننا السبب في تسلطهم علينا  كمثال بسيط عندي في العمل مشرفه أجنبيه والله عندنا كفاءات أفضل منها ..لكن مشكلتنا اننا كنا نعطيها أكبر من حجمها .. كنا أي معلومه جديده أو مشكله نواجهها مباشره  نبلغها فيها مع العلم بأنه هالمعلومات اللي أحنا  نقدمها لها كانت السبب في ترقيتها ووالله ما كانت تذكر أسامينا على أي معلومه نقدمها أو على الأقل تشكرنا عليها بالعكس تقدمها للمسئولين عنا على أنها هي اللي قدمتهاوزي ما قال المثل ( تمسكن لين ما تمكن )كانت تسوي أنها طيبه وأنها على نياتها .. لين ما طلبو منا أنه نعمل لها تقييم وتثبيتها مشرفه لنا لكن الآن أنكشفت وظهرت على حقيقتها لدرجه أنها والله صارت تتبلاني بكلام ما قلته حتى أنها كرهت زميلاتي وخلتهم يحقدون علي حسبي الله ونعم الوكيل فيها  وتدقق على شغلي وغير كذا تتصيد أخطائي وتحاول أنها تضغط علي وتستفزني مشكلتي  أنا هي أني آخذ الآمور ببساطه ,, كموظفه جديده ما عندها خبره وخلفيه عن بعض الأمور الإداريه كنت أعتقد أنه اللي أعمله هو جزء من عملي كموظفه خدمه عملاء واللي المفروض أقدم  الخدمه الأفضل للعميل ولكن للإسف كانت هالأشياء  مو لصالحي وأستغلتها هالأجنبيه للضغط علي ومحاوله تطفيشي من العمل المشكله أنها الآن وبكل  حقاره حاطتني براسها وكل شوي مطلعه لي مشكلهاليوم كنت عند مكتب مسئوله القسم وعند جهازها وبالصدفه لمحت إيميل مرسل منها وفيه شكوى ضدي والمشكله مو عارفه وش موضوع هالشكوى ووش هي مخططه علي فيه  والله صرت كل يوم أجي بس أنتظر مصيبه جديده هي مجهزتها لي وحتى  أني صرت أكره افتح الإيميل بسببها أنا  كلها فتره وراح اقدم إستقالتي وأرتاح من خشتها العفنهلإني فعلاً ما عاد اقدر اتحمل ضغوط العمل لإنها أثرت على  نفسياً وصحياًبس أستنى يتحدد  لي موعد إجراء عمليه جراحيه ممكن تكون قريبه وحتى يكون عذر يقبلونه في العمل لإنه مكتوب في العقد لازم أخبرهم قبل ما أستقيل بشهريمكن تكون  هالعمليه بعد شهر ويمكن ست شهور .. والله يعينني أتحمل بثارتها وغثاها لين أفتك منها أو أنها تطس لمكان ثاني",11-2007,
 والله انا عنديلكم راي اي واحد يضايقه اجنبي يحط عينه في عينه وماينزلها مهما كان لأن التهاون هو الي خلاهم يسون كذا بالعكس انت ولد البلد غز عينك بعينه لوه مديرك وخذ حقك طالما انت ماشي في السليم والمثل يقول حير عدوك يحتر فيك كاني منيب غلطان بس وربي خذوها ياناس قاعده هذي ديرتنااااااااااا والله مايرفع اجنبي راسه وهو في بلدي لا ادوس عليه بالجزمه الله يكرمكم طالما ان شغلي مااخليت فيه ولا في اي قصور وبعدين ترى مو كل الأجانب بعضهم في بعضهم جاي بس يدور لقمت عيش لعياله وهذا مانحسده بالعكس نزيده ونحتسب الأجر فيه البلى بالي يجي ويصرق ويلعب بالبلد  بحيث انه يكسب   من نصب واحتيال ويروح لديرته مليونير وهذا الي حاااصل بس زي ماقلت لكم فتحوا عنونكم زين ولا تنزلونها في الأرض خلوا عينكم مرفوعه والمثل يقول بد صياح بصياح تسلم والا والله ياكلونكم خذوها نصيحه بعدين ياناس خلوخم دبلوماسيين مع هالأشكال ممممممممممم والله يوفقكم جميعا <<<<<<<متعود على الشكاوي,11-2007,
 معليش انا ابي اقولكم معاناتي مع الاجانب والمصيبه ان المدير واغلب العاملين في القطاع  الخاص الي اشتغل فيه اجانب انا اقولكم وش صار معاي مؤهلاتي افضل من مؤهلاتها بكثير والاخت الي معاي والله ما عندها ما عند جدتي لاكن عندها لسان  وطبعا اخذ وحط وغمز ولمز وفلة احجاج مع الرايح والجاي والمدير ما يقدر يستغني عنها  من هذي الناحيه ومن ناحيه ثانيه طبعا بنت بلده اشلون يطردها   هي عارفه ان شغلها بطئ وعليه ملاحظات وكلامها ومشاكلها واجد لاكن بنفس الوقت ما تبي احد ياخذ مكانها  شوفو وش سوت فيني  اولا رافضه تعلمني على الشغل  وكل ما اقولها علميني تقول بعدين هاي صعبه  هاي ما اراح اعلمك اياها هاي  ما راح تمسكينها  تقفل الادراج وتاخذ المفاتيح وانا ووجهي اجي الدوام بدري وبنشاط وابي اقدم شي  وافرغ الطاقه وحب العمل الي  اصحى كل يوم وانا احس فيه والي احلم فيه من يوم تخرجت وطبعا لازم انتظر الين تفتح حضرتها الادراج وابدا اخذ الاختام واشتغل  ثانيا ياناس كذابه وكلامها واجد تبني اسب في اي احد عشان تقوم تفتن علي وتسبني عند المدير  واذا شافت اني سويت شي تقول لا غلط وتطلع علي اخطاء في التنسيق واحيانا اذا ما لقت اخطاء تقول عيدها    الحين مر علي فتره وانا معاها ما تعلمت كل شغلي كل ما اقول علميني تقوم تعطيني جداول اكسل يمكن 10 ورقات او  اوراق اساسيه عندها نسخ منها في الجهاز لنماذج طلب عاملين او طلب اجازات  معقده  وتقول عيديها مره ثانيه ويروح وقتي في شي تافه ما اله علاقه بالشغل   انا نفسي اعطي وابدع في شغلي لاكن لمن اشكي دلوني,11-2007,
