NAME_OF_ITEM,TYPE_OF_ITEM,RARITY,TIER,GEAR_SCORE
Abyssal Pristine Amethyst Amulet,Jewelry - Amulet,Uncommon,Tier V,500-600
Infused Silk Gloves,Light Glove,Common,Tier V,500-600
Pristine Pearl Amulet,Jewelry - Amulet,Uncommon,Tier V,500-600
Infused Silk Robe Hat,Light Headwear,Common,Tier V,500-600
Infused Silk Shirt,Light Chestwear,Common,Tier V,500-600
Infused Silk Hat,Light Headwear,Common,Tier V,500-600
Infused Silk Robe,Light Chestwear,Common,Tier V,500-600
Beasthunter Footwraps,Medium Footwear,Common,Tier V,500-600
Beasthunter Legwraps,Medium Legwear,Common,Tier V,500-600
Beasthunter Handwraps,Medium Glove,Common,Tier V,500-600
Beasthunter Mask,Medium Headwear,Common,Tier V,500-600
Beasthunter Garb,Medium Chestwear,Common,Tier V,500-600
Guardian Spearmarshal Coat,Medium Chestwear,Uncommon,Tier V,500-600
Dryad Stalker Hat,Medium Headwear,Uncommon,Tier V,500-600
Guardian Spearmarshal Hat,Medium Headwear,Uncommon,Tier V,500-600
Dryad Guard Boots,Heavy Footwear,Uncommon,Tier V,500-600
Dryad Guard Greaves,Heavy Legwear,Uncommon,Tier V,500-600
Guardian Plate Greaves,Heavy Legwear,Uncommon,Tier V,500-600
Guardian Plate Boots,Heavy Footwear,Uncommon,Tier V,500-600
Infused Silk Pants,Light Legwear,Common,Tier V,500-600
Lazarus Watcher Musket,Musket,Uncommon,Tier V,500-600
Dryad Guard Gauntlets,Heavy Glove,Uncommon,Tier V,500-600
Guardian Plate Gauntlets,Heavy Glove,Uncommon,Tier V,500-600
Dryad Guard Breastplate,Heavy Chestwear,Uncommon,Tier V,500-600
Guardian Plate Helm,Heavy Headwear,Uncommon,Tier V,500-600
Guardian Plate Chestguard,Heavy Chestwear,Uncommon,Tier V,500-600
Dryad Guard Helm,Heavy Headwear,Uncommon,Tier V,500-600
Garden Keeper Ice Gauntlet,Ice Gauntlet,Uncommon,Tier V,500-600
Lazarus Watcher Ice Gauntlet,Ice Gauntlet,Uncommon,Tier V,500-600
Musketeer's Coat of the Brigand,Light Chestwear,Epic,Tier V,500-600
Musketeer's Gloves of the Brigand,Light Glove,Epic,Tier V,500-600
Inquisitor's Boots of the Brigand,Heavy Footwear,Epic,Tier V,500-600
Musketeer's Hat of the Brigand,Light Headwear,Epic,Tier V,500-600
Inquisitor's Greaves of the Brigand,Heavy Legwear,Epic,Tier V,500-600
Dryad Stalker Coat,Medium Chestwear,Uncommon,Tier V,500-600
Inquisitor's Helm of the Brigand,Heavy Headwear,Epic,Tier V,500-600
Inquisitor's Gauntlets of the Brigand,Heavy Glove,Epic,Tier V,500-600
Inquisitor's Breastplate of the Brigand,Heavy Chestwear,Epic,Tier V,500-600
Syndicate Keeper's Boots of the Barbarian,Heavy Footwear,Epic,Tier V,500-600
Syndicate Keeper's Greaves of the Barbarian,Heavy Legwear,Epic,Tier V,500-600
Syndicate Keeper's Gauntlets of the Barbarian,Heavy Glove,Epic,Tier V,500-600
Syndicate Keeper's Helm of the Barbarian,Heavy Headwear,Epic,Tier V,500-600
Covenant Adjudicator's Greaves of the Barbarian,Heavy Legwear,Epic,Tier V,500-600
Covenant Adjudicator's Gauntlets of the Barbarian,Heavy Glove,Epic,Tier V,500-600
Syndicate Keeper's Breastplate of the Barbarian,Heavy Chestwear,Epic,Tier V,500-600
Covenant Adjudicator's Boots of the Barbarian,Heavy Footwear,Epic,Tier V,500-600
Infused Health Potion,Consumable,Common,Tier V,
Infused Mana Potion,Consumable,Common,Tier V,
Outpost Amulet,Jewelry - Amulet,Common,Tier V,500-600
Outpost Ring,Jewelry - Ring,Common,Tier V,500-600
Outpost Earring,Jewelry - Earring,Common,Tier V,500-600
War Ring,Jewelry - Ring,Common,Tier V,500-600
War Amulet,Jewelry - Amulet,Common,Tier V,500-600
War Earring,Jewelry - Earring,Common,Tier V,500-600
Fieldshadow's Boots of the Assassin,Light Footwear,Epic,Tier V,500-600
Fieldshadow's Pants of the Assassin,Light Legwear,Epic,Tier V,500-600
Fieldshadow's Gloves of the Assassin,Light Glove,Epic,Tier V,500-600
Fieldshadow's Coat of the Assassin,Light Chestwear,Epic,Tier V,500-600
Officer's Boots of the Fighter,Light Footwear,Epic,Tier V,500-600
Brash Outpost Bow of the Brigand,Bow,Uncommon,Tier V,500-600
Officer's Coat of the Fighter,Light Chestwear,Epic,Tier V,500-600
Officer's Gloves of the Fighter,Light Glove,Epic,Tier V,500-600
Fieldshadow's Mask of the Assassin,Light Headwear,Epic,Tier V,500-600
