name,telephone,mail,website
GUIGNES TC,0608634231,haidantjc@orange.fr,http://tennisguignes.clubeo.com/
SAINT VAAST LA HOUGUE TC VAL DE SAIRE,0233541015,tennisclubvaldesaire@fft.fr,http://www.club.fft.fr/tennisclubvaldesaire
SAINT PIERRE EGLISE TC,0615596140,tennis.saintpierre50@gmail.com,https://www.facebook.com/Tennis-Saint-Pierrais-2120519781533790/?ref=bookmarks
CRECY LA CHAPELLE TENNIS CLUB,0769573364,t3c77580@gmail.com,https://www.t3c-tennis-club-de-crecy-la-chapelle.fr/
FONTENAY TRESIGNY ASFT,0164251540,asfttennis@fft.fr,http://www.club.fft.fr/asfttennis
LA GLACERIE US,0651945282,uslgt0536@free.fr,https://www.facebook.com/Tennis.club.La.Glacerie/
QUINEVILLE TC,0233214112,eolianepro@gmail.com,None
MONTEBOURG TC,0664207778,tennis.club.montebourg@gmail.com,http://www.club.fft.fr/tc.montebourg/
SAINT SAUVEUR LE VICOMTE VAL  D'OUVE,0627053109,tcvo@laposte.net,https://www.facebook.com/TCVO50390
CHERBOURG AS-BR TENNIS,0233931785,ascbr.tennis@wanadoo.fr,http://www.ascbrtennis.com/
TOURLAVILLE TC LOISIRS,0233447621,clt.tennis@sfr.fr,http://www.tennis-tourlaville-clt.fr/
BRICQUEBEC UC TENNIS,0233522198,anjot.thierry@neuf.fr,None
QUERQUEVILLE AS,0233010502,contact@asquerquevilletennis.com,http://www.asquerquevilletennis.com
TENNIS CLUB DU LAMENTIN,0696797000,tclamentin@gmail.com,http://www.club.fft.fr/tclamentin
TENNIS CLUB DU LORRAIN,0596539390,lorrain.tennisclub@wanadoo.fr,https://www.facebook.com/lorrain.tennisclub
TENNIS CLUB DES TROIS ILETS,0675547046,clubtc3i@gmail.com,https://www.facebook.com/Tennis.Club.des.3Ilets
CHERBOURG NOUAINVILLE AS AREVA,0233039680,bruno.francoise@hotmail.fr,None
TENNIS CLUB DE SAINTE ANNE,769528,tennisclubste-anne@wanadoo.fr,None
TENNIS CLUB DE RIVIERE SALEE,0596682476,tennisclubrivieresalee@orange.fr,None
TENNIS CLUB DE TRINITE,582432,tct972@gmail.com,None
TENNIS CLUB DE SAINTE MARIE,0596275363,None,None
TENNIS CLUB DE L'A.S.C.E.E.,None,None,None
EQUEURDREVILLE HAINNEVILLE TC,0977802054,tceh@orange.fr,http://www.club.fft.fr/tc.equeurdreville
TENNIS CLUB DE PLATEAU ROY,0596647224,tcplateauroy@gmail.com,None
TENNIS CLUB CMCAS EDF,None,None,None
MADININA BEACH TENNIS,0696705177,jacquesmuhel@hotmail.com,https://madininabeachtennis.fr
LIGUE DE TENNIS DE LA MARTINIQUE,0596515001,ligue.martinique@fft.fr,https://www.ligue.fft.fr/martinique
SMATCH CLUB SPIRITAIN,0696267442,jeu.set.smatch@gmail.com,https://www.facebook.com/lesmatchclubspiritain
C.S.M. FORT DE FRANCE,None,tcm972@gmail.com,https://www.facebook.com/TennisClubMilitaire
ASSOCIATION TENNIS CLUB DUCOS,0696531498,None,None
ASSOCIATION LUCEENNE DE TENNIS,0696045225,altennis972@gmail.com,None
S.T. DU GYGNE NOIR,None,None,None
ASPTT MARTINIQUE,0596715882,asptt.tennis.mq@gmail.com,https://www.facebook.com/Asptt.tennis.972.officiel/
DIAMANT TENNIS CLUB,0596764516,tcdiamant@orange.fr,https://www.facebook.com/diamanttc.diamanttc?fref=searchu0026__tn__=%2Cd%3C-Ru0026eid=ARDlnEAPagZDCg39fN0KapvKmkVUNBqZ8Hswg-bqFzgSG321Kc4sqqr67KXzRlUjEpE7m6jAg1weccMj
ASSOCIATION FRANCISCAINE DE TENNIS,0596544082,ass97240-tennis@orange.fr,None
TENNIS CLUB URMATT,None,tennisurmatt@gmail.com,http://tcu.hautetfort.com
A.S. COUNTRY CLUB DE SCHOELCHER,0596612001,None,None
TENNIS CLUB RHINAU,0388748923,tcrhinau0207@gmail.com,http://www.club.fft.fr/tcrhinau/
TENNIS CLUB INNENHEIM,None,tennis_innenheim@yahoo.fr,https://www.facebook.com/TennisClubInnenheim
TC WOLFISHEIM,0767717228,tcwolfisheim@gmail.com,http://www.club.fft.fr/tc.wolfisheim
TC WISCHES,None,None,None
TC VALLEE DE LA BRUCHE SCHIRMECK,0388496699,mail.tcvb.schirmeck@gmail.com,http://tcvb.bruche.free.fr
TC ROSHEIM,0622924608,comite.tcrosheim@gmail.com,http://www.tcrosheim.fr
TC OSTHOFFEN,0388960744,contact@tcosthoffen.fr,http://tcosthoffen.fr
TC STE MARIE AUX MINES,None,None,None
TC OBERNAI,0609414446,bkelhetter@tcobernai.fr,None
TC OSTHEIM,None,my.ackermann@wanadoo.fr,http://www.tcostheim.jimdo.com
TC MOLSHEIM MUTZIG,0388387903,tennisclubmm@gmail.com,https://tc-molsheimmutzig.fr/
TC OBERHAUSBERGEN,0388569848,tennis.club.oberhausbergen@gmail.com,https://sites.google.com/site/tenniscluboberhausbergen/home
TC MEINAU,0388390901,contact@tennis-club-meinau.fr,http://www.tennis-club-meinau.fr
TC ILLKIRCH GRAFFENSTADEN,0388660407,tcig@hotmail.fr,https://tcillkirch.wixsite.com/website
TC STUTZHEIM-OFFENHEIM,0623421113,tcos67370@gmail.com,http://www.club.fft.fr/stutzheim/
TC LINGOLSHEIM,0388781590,tclingo@orange.fr,None
TC GERSTHEIM,None,None,http://www.club.fft.fr/tc.gerstheim/01670282_a/cms/index_public.php?us_action=sh
TC HILSENHEIM,0388854375,tc.hilsenheim@fft.fr,None
TC FEGERSHEIM,0388641198,comite@tcfegersheim.fr,https://tcfegersheim.fr
TC ERNOLSHEIM S/BRUCHE,None,tc.ernolsheim.bruche@fft.fr,None
TC MARCKOLSHEIM,0388927751,tc.marckolsheim@fft.fr,https://fr-fr.facebook.com/pages/category/Stadium--Arena---Sports-Venue/Tennis-Club-Marckolsheim-928719803888169/
TC ECKBOLSHEIM,0388761206,None,None
TC EPFIG,0630508855,tennis.club.epfig@gmail.com,https://fr-fr.facebook.com/TennisClubEpfig/
TC DU PARC A OSTWALD,0388305149,tcpostwald67@gmail.com,http://tcpostwald.fr/
TC DES ROMAINS,0687886802,tc.romains@gmail.com,http://www.club.fft.fr/tc.romains
TC ERSTEIN,0388986065,tcerstein@gmail.com,http://tcerstein.free.fr
TC EBERSHEIM,0609274902,tc.ebersheim@gmail.com,https://www.tc-ebersheim.fr
TC DUPPIGHEIM,None,tennisclubduppigheim@yahoo.fr,http://tcduppigheim.clubeo.com
TC DE LA VALLEE DE VILLE,None,tcville.com@gmail.com,None
TC WASSELONNE,None,tcwasselonne@gmail.com,http://www.club.fft.fr/tcwasselonne
TC DE LA PORTE DU VIGNOBLE,None,tcpv.marlenheim@gmail.com,https://www.tennisclubporteduvignoble-marlenheim.fr/
TC DE PLOBSHEIM,0388987489,None,None
TC ESCHAU,0388641039,tce67114@orange.fr,None
TENNIS CLUB HOLTZHEIM,0688451038,robert.seher67@gmail.com,None
TC BENFELD,0388743703,mhaf@orange.fr,http://www.tcbenfeld.fr
TC ANDLAU,None,None,http://TCANDLAU.NET
Strasbourg - Centre de Ligue,0388279903,None,None
TC ALTORF ,None,None,None
TC HOUSSEN,None,tc.houssen@gmail.com,http://www.tennisclubhoussen.com/
STLC TENNIS CLUB DE BERGHEIM,None,01680241@fft.fr,http://www.club.fft.fr/stlc-bergheim
TC ACKERLAND ITTENHEIM,0769126000,tca.ittenheim@gmail.com,http://www.club.fft.fr/ittenheim
TC BREUSCHWICKERSHEIM-HANGENBIETEN,0698760712,dominique.ardenghi@sfr.fr,http://www.club.fft.fr/tc.breusch-hangen
TC ACHENHEIM,0688841117,None,http://www.club.fft.fr/tennis.achenheimclub
SPORT DETENTE NORDHOUSE,0670282719,sd.nordhouse@yahoo.fr,None
SPORT ET DETENTE DORLISHEIM,0786767857,richkopf@yahoo.fr,None
SAINT-HIPPOLYTE TC,None,None,http://tcsthippolyte.sportsregions.fr
TC BARR,0766702201,tcbarr.info@gmail.com,http://www.tcbarr.com
SL CONSTANTIA,None,None,None
OTTROTT TENNIS CLUB,None,None,https://otc-ottrott.clubeo.com/
KRAUTERGERSHEIM TENNIS CLUB,0388957931,Klingelschmidt.jl@wanadoo.fr,None
FURDENHEIM AS CULT. SP. LOISIR,None,tcfurdenheim@gmail.com,https://tc-furdenheim.clubeo.com/
FC KRONENBOURG TENNIS,0388268879,kronenbourg.tennis@free.fr,http://www.fckronenbourg.tennisinfos.com
SGS LA FRATERNELLE STRASBOURG,None,lafraternelletennis@gmail.com,https://tennis.lafraternelle.com/
SELESTAT SPORT INDOOR,0388826807,v.jung@letincelle-sport.fr,http://www.letincelle-sport.fr
CERCLE ST-ETIENNE HINDISHEIM,0677095553,tennis@cse-hindisheim.info,http://lesite.cse-hindisheim.info/index.php/tennis
LA CONCORDE 1913 DUTTLENHEIM,0388508745,None,http://clubenlignefft.fr
ASSOCIATION TENNIS GUEMAR,None,None,None
TC DAMBACH LA VILLE,0388924257,tcdlv67@gmail.com,https://www.tennisdambachlaville.fr
ASPTT STRASBOURG,0388100330,asptt.tennis67@gmail.com,http://www.asptt-str.org/
ILLWALD TENNIS HIPSHEIM,0677095553,None,None
AS GEISPOLSHEIM-GARE,0388667602,tageispolsheim@orange.fr,https://www.facebook.com/pages/category/Social-Club/Tennis-Association-Geispolsheim-TAG-226869204842446/
AS ELSAU TENNIS,0388304527,elsau.tennis@gmail.com,https://as-elsau-tennis.clubeo.com
ELECTRICITE STRASBOURG AS,0681848058,club@ases-tennis.fr,https://www.ases-tennis.fr
ENTZHEIM TENNIS CLUB,None,entzheimtennisclub@googlegroups.com,http://www.club.fft.fr/entzheim.tc
SENLIS TENNIS CLUB,0344535845,tcsenlis@bbox.fr,https://tcsenlisblog.wordpress.com/
COMITE BAS RHIN TENNIS,0388269459,comite.bas-rhin@fft.fr,None
MJC TENNIS SCHERWILLER,0699064577,tennis.scherwiller@yahoo.fr,http://www.facebook.com/tennisclubscherwiller
QUINCY VOISINS TC,0628703450,contact@tcqv.fr,https://www.tcqv.fr
MONTHYON TC,None,tcmonthyon@yahoo.com,None
OISSERY TC.,None,oissery.tennis@gmail.com,None
LE PLESSIS BELLEVILLE TC LOISIRS,0344605550,jmlaulhe@exchange.slb.com,https://www.facebook.com/tcplessisbelleville/
4PADEL STRASBOURG,0388301760,strasbourg@4padel.fr,https://www.4padel.fr
ST GERMAIN TPB VAL D'EUROPE PAYS CRECOIS,0164635576,tpb@fft.fr,http://www.club.fft.fr/tpb
ASL BENNWIHR,0389479197,None,http://www.tennisbennwihr.fr
MAREUIL LES MEAUX TC,0678886405,tc.mareuil-77@fft.fr,http://club.fft.fr/tc.mareuillesmeaux
MEAUX SC OEILLET,0673439217,cyr.jeannin@gmail.com,http://www.club.fft.fr/tc.oscmeaux
ST PATHUS TC,0672809889,tcstpathus@free.fr,None
ERMENONVILLE TENNIS CLUB,None,None,None
TOURNAN EN BRIE TC,0164064574,tc.tournan@fft.fr,http://www.club.fft.fr/tc.tournan
T.C. ST PIERRE DU PERRAY,0183702209,31910042@fft.fr,http://www.club.fft.fr/tcspp
CONDE STE LIBIAIRE TCC,0160046200,None,None
T.C. VILLABE,0601843563,tennisclubvillabe@yahoo.com,http://www.club.fft.fr/tc.villabe
T.C. MENNECY,0963033827,tc.mennecy@fft.fr,https://www.tennisclubmennecy.com/
T.C. ST GERMAIN LES CORBEIL,0160750887,tcsg@fft.fr,http://www.club.fft.fr/tcsg91
MEAUX CS,None,phmaurer@laposte.net,http://www.club.fft.fr/cs.meaux
T.C. BALLANCOURT,0164934969,tcb.tennis91@gmail.com,http://www.club.fft.fr/tcballancourt
AVILLY SAINT LEONARD TC,None,tennis.avilly@gmail.com,http://www.tcasl.fr/
STADE VERTOIS TENNIS,0164934790,stade-vertois-tc@fft.fr,http://www.club.fft.fr/stade-vertois-tennis
CHAUCONIN-NEUFMONTIERS TC,None,None,None
SAVIGNY LE TEMPLE ASPS TENNIS,0651899578,None,http://aspstennis.wix.com/savigny/
T.C. SAINTRY,0169892410,tc.saintry@fft.fr,https://tennis-club-de-saintry-sur-seine.webnode.fr/
OZOIR LA FERRIERE TC,0160027514,tco@fft.fr,https://tennis-idf.fr/ozoir-la-ferriere/
ST FARGEAU PONTHIERRY TCF,None,tcfereopontain@free.fr,http://www.club.fft.fr/tcf.ponthierry
ST FARGEAU VILLERS AS,None,contact@assfv.com,None
MOISSY CRAMAYEL TCMC,0160607290,tc.moissycramayel@fft.fr,http://www.club.fft.fr/moissytennis
LIEUSAINT TC,0984262709,tc.lieusaint@fft.fr,http://www.tennis-club-lieusaint.com
LEUDEVILLE T.C.,None,ltcleudeville@laposte.net,https://www.facebook.com/Leudevilletennisclub/
T.C. COUDRAY MONTCEAUX,0616163136,tccoudray@gmail.com,https://www.tennisclubducoudraymontceaux.com/
T.C. GRAND VERTOIS,0169148089,tcgrandvertois@fft.fr,http://www.club.fft.fr/tcgrandvertois_new
PRESLES EN BRIE TC,0609184478,tc.preslesenbrie@fft.fr,http://club.fft.fr/tc.preslesenbrie
CHANTILLY TENNIS CLUB,0967332653,chantillytc@fft.fr,https://chantillytennisclub.fr
COUPVRAY VAL D'EUROPE TENNIS CLUB,0160046891,tc.coupvray@fft.fr,http://tennis-coupvray.fr/
SENART NANDY TCSN,0960032228,tc.senartnandy@fft.fr,http://www.club.fft.fr/tcsenartnandy
MONTRY US,None,usmontry@fft.fr,None
CHEVRY COSSIGNY TC,None,chevrycossignytennisclub@gmail.com,https://club.fft.fr/chevry-cossigny.tc/57770465_a/cms/index_public.php?us_action=show_note_siteu0026login_off=1u0026ui_id_site=1
BRIE COMTE ROBERT SC BRIARD,0164057343,tscbrie@gmail.com,http://www.club.fft.fr/tscbrie
CESSON AT VERT ST DENIS,0633690476,tc.cesson@fft.fr,https://www.atcv.fr
BAILLY - ASRVE,0160433565,secretariat@asrve.fr,https://www.asrve.com/
ARMAINVILLIERS TC,None,tc.armainvilliers@fft.fr,http://www.club.fft.fr/tc.armainvilliers
GRISY-SUISNES TC,None,tc.grisysuisnes@fft.fr,http://www.club.fft.fr/tc.grisy-suisnes/
A.S. CORBEIL ESSONNES,0164964129,as.corbeil-essonnes@fft.fr,https://tennis-idf.fr/as-corbeil-essonnes/
EVRY GREGY TC,0612647509,tcevrygregy@fft.fr,https://www.facebook.com/profile.php?id=100011862580307
CSV ST VRAIN,None,None,None
VILITEUIL TC,None,viliteuil.tc@gmail.com,http://www.club.fft.fr/viliteuil.tc
VIENNE ET MOULIERE TC,0672715473,tennisclubviennemouliere@gmail.com,http://www.club.fft.fr/vienneetmouliere
VENDEUVRE TC,0661944165,tc.vendeuvre@fft.fr,http://www.club.fft.fr/tc.vendeuvredupoitou
VAL VERT DU CLAIN TC,0549116724,tcvalvert@orange.fr,http://www.tcvalvert.com/
CHEVANNES T.C.,0620548658,laurent77lbd@sfr.fr,https://www.facebook.com/chevannestc
CHALIFERT TC,None,None,http://club.fft.fr/tc.chalifert
GRETZ TOURNAN SPORTING CLUB,None,scgt.tennis.gretz@fft.fr,http://www.club.fft.fr/scgt.tennis.gretz
VAL DE BOIVRE TC,0661751566,tennisclubvsb@yahoo.fr,https://tcvouneuil.fr
SAINT GENEST TC,None,59860563@fft.fr,None
SAINT BENOIT TC,0549554233,59860125@fft.fr,http://www.club.fft.fr/tcsb/
SCORBE CLAIRVAUX TC,0549939306,duprat.pierrejo@orange.fr,https://m.facebook.com/tennisscorbeclairvaux/?locale2=fr_FR
VERCIVAL TC,None,vercivaltennisclub@orange.fr,http://vercivaltc.clubeo.com/
RAQUETTE BONNIMATOISE (LA),0549852382,laraquettebonnimatoise@gmail.com,None
POITIERS EDF,None,None,None
POITIERS COURONNERIES,0549476221,59860092@fft.fr,None
SMAROVIL ENTENTE TENNIS,None,smaroviltennis@gmail.com,https://www.smaroviltennis.fr
POITIERS BEAULIEU,0625419244,beaulieu-tc@clubeo.com,http://www.beaulieu-tc.clubeo.com
POITIERS ETUDIANTS CLUB,0549453776,59860045@fft.fr,http://www.club.fft.fr/pectennis
SAINT GEORGES LES BGX TC,None,tennisclub.saintgeorges86@gmail.com,None
NOUAILLE TC,0630934001,nouaille.tc@gmail.com,None
NIEUIL L'ESPOIR TC,None,tcne86@gmail.com,http://tcne86.fr
T.C. EPONE MEZIERES,0130955649,tceponemezieres@wanadoo.fr,http://www.club.fft.fr/tceponemezieres/38780065_a/cms/index_public.php?us_action
QUINCAY AS,0663928636,quincaytennis@gmail.com,None
NAINTRE TC,0549194161,59860256@fft.fr,http://www.club.fft.fr/tennis.club.naintre_new
POITIERS ATSCAF,0549553016,eric.liebus@orange.fr,http://www.atscaf.fr/8600
POITIERS ASPTT,0549582014,poitiers@asptt.com,http://www.poitiers.asptt.com
MIGNE AUXANCES US,0619860583,usmatennis86@gmail.com,https://usmatennis86.wordpress.com/
MIGNALOUX  AST,0647673508,59860480@fft.fr,https://fr-fr.facebook.com/MignalouxTennis
LAWN TC 86,0549440137,None,http://www.ltc86.com
PAYS MENIGOUTAIS TC,0685362204,branger.anthony@yahoo.fr,None
NEUVILLE TC,None,59860360@fft.fr,http://www.club.fft.fr/tcneuville
POITIERS CONDORCET TC,None,philippe.babault@orange.fr,None
LATILLE TC,0549541160,59860185@fft.fr,http://www.club.fft.fr/tennis.latille/
POITIERS STADE,0549462374,accueil@stadepoitevintennis.fr,http://www.stadepoitevintennis.fr/
CISSE TC,0677952248,famillebeulet@wanadoo.fr,None
CHAUVIGNY US,0549013437,uschauvignytennis@yahoo.fr,http://www.club.fft.fr/tennis.chauvigny/
MIREBEAU TC,0615474481,59860117@fft.fr,http://tennisclubmirebeau.jimdo.com
CHATELLERAULT TCOL,0674624813,danchetjo@yahoo.fr,http://ctco86.byethost18.com
CHASSENEUIL TC,0549625669,tcchasseneuil86@gmail.com,http://www.club.fft.fr/tcchasseneuildupoitou/21860101
BUXEROLLES TC,0695375382,nelora.marck@gmail.com,http://tcbuxerolles.clubeo.com
LUSIGNAN VENOURS TC,0676408954,contact@tennislusignan.fr,https://www.tennislusignan.fr
MONTAMISE TC,0549458617,tennisclubmontamise@gmail.com,https://www.facebook.com/Le-tennis-u00e0-Montamisu00e9-570125376999647/
AVANTON TC,0683325211,dabirec@gmail.com,None
COMITE VIENNE TENNIS,0549611111,comite.vienne86@fft.fr,http://www.comite.fft.fr/vienne/21L00860_a/cms/index_public.php?us_action=show_n
US DUNKERQUE TENNIS,0328635416,usdtennis@wanadoo.fr,http://www.club.fft.fr/usdtennis
UNION SPORTIVE LEFFRINCKOUCKE,0602643394,beachtennisusl@gmail.com,http://club.fft.fr/tennisleffrinckoucke
FONTAINE LE COMTE TC,None,59860359@fft.fr,None
TC SAINT POL SUR MER,0328613700,tc.saintpolsurmer@orange.fr,None
TC STEENVOORDE,0328481739,tennis.steenvoorde@gmail.com,http://tennis-steenvoorde.com
GENCAY-USSON TC,0624221791,tennisgencay@hotmail.fr,http://gencay.fr
CHATEL' TENNIS,0608624100,59860602@fft.fr,http://www.club.fft.fr/chatel-tennis
CENON FEPS,0549219451,feps.cenon@fft.fr,http://www.club.fft.fr/fepscenon
TC LOON-PLAGE,0328512556,tcloonplage@free.fr,http://tennis-loonplage.fr
TC GRAND-FORT-PHILIPPE,0328239659,tcgfp@gmx.fr,None
TC WORMHOUT,None,vincent.delmotte@sfr.fr,None
TENNIS SQUASH BADMINTON DUNKERQUE,0951591953,secretaire@tsbdunkerque.fr,http://www.tsbdunkerque.fr
TC COUDEKERQUE BRANCHE,0328611330,tccbfft@free.fr,None
TC BERGUES,0328209491,tennisclubberguois@gmail.com,http://sites.google.com/view/tc-bergues
TC PAYS DE CASSEL,0328424659,tennispayscassel@orange.fr,None
SMPS DUNKERQUE,0328604039,smps-tennis@orange.fr,http://www.smps-tennis.com
OLYMPIQUE GRANDE-SYNTHE,0951976008,ogstennis.info@gmail.com,http://ogstennis-fr.webnode.fr/
EFM DUNKERQUE,0361448121,None,https://4padel.fr
TC TETEGHEM,0328261343,tennis.teteghem@gmail.com,http://www.tennis-teteghem.com
TC OYE-PLAGE,0630738828,None,None
TC ESQUELBECQ,0767236758,tcesquelbecq@orange.fr,None
T.C. RECEIVING,0687264532,tennis.receiving@gmail.com,https://www.facebook.com/profile.php?id=100009517414793
T.C. OLYMPIQUE DE NOUMEA,0687277404,tsolympique@lagoon.nc,http://www.tsolympique.asso.nc
TC CAPPELLE-LA-GRANDE,None,tc.cappelle@fft.fr,None
TC BRAY DUNES,0328585382,tennisclubbray-dunes@sfr.fr,http://www.club.fft.fr/tcbray-dunes
T.C. DU MONT COFFYN,0687251078,tcmc@lagoon.nc,http://www.tennismontcoffyn.com
LIGUE NOUVELLE CALEDONIE TENNIS,0687284629,ligue.nouvelle-caledonie@fft.fr,https://www.liguetennis-caledonie.com/
CLUB SPORTIF ET ARTISTIQUE DE N. C.,292466,None,http://www.csanc.nc/index.php/fanc/toutes-les-sections/2-non-categorise/105-tennis
AS 6EME SECTION TENNIS,438848,pietoncyril@gmail.com,https://www.facebook.com/As-6%C3%A9me-section-Tennis-1019135934810371/
VEDENE TENNIS CLUB,0609710508,vedenetennisclub@wanadoo.fr,http://www.club.fft.fr/vedenetennisclub
US SMASH CLUB ENTRAIGUES,0490831929,ussmashclub84320@gmail.com,http://www.club.fft.fr/tc.entraigues
UCHAUX TENNIS CLUB,0432809493,tennis.club.uchaux@gmail.com,http://club.quomodo.com/tennis-club-uchaux/accueil.html
LOISIRS TENNIS CLUB HOYMILLE,0328681884,tennisclub.hoymille@free.fr,None
TENNIS CLUB DE L'I. R. D.,0687261000,yann.fuselier@ird.fr,None
TENNIS PARK AVIGNON,0617513908,tennisparkavignon@gmail.com,https://www.facebook.com/TennisTPA
U.S. PONTET TENNIS,0649635649,uspontettennis@gmail.com,http://www.uspontet-tennis.com
SC BOURBOURG,0328623929,salledetennis.bourbourg@orange.fr,http://scbtennisbourbourg.e-monsite.com
TENNIS CLUB ST-REMY DE PROVENCE,0986314314,contact@tcsrprovence.com,http://www.club.fft.fr/tcsrprovence
AMICALE VIETNAMIENNE DE N.C.,0687438566,avnc@lagoon.nc,None
