business_name,full_adress,zip_code,phone,license,job_cost,rating,reviews,website,url
California Home Builders & Remodeling Inc.,"STUDIO CITY, California, United States",91604,(323) 379-0667,B-800848,"$7,000 - 3 million",5.0,234,https://www.houzz.com/trk/aHR0cDovL3d3dy5teWNhbGlmb3JuaWFob21lYnVpbGRlcnMuY29t/65e8ca6884180cb5411a03bbb93ea1ef/ue/MzY4MTc0NDk/8b08bb9d58f95c3b49081fe393617805,https://www.houzz.com/professionals/general-contractors/california-home-builders-and-remodeling-inc-pfvwus-pf~1830972701
Luxe Remodel,"329 N. Wetherly Dr. Suite 205 Los Angeles, California, United States",90211,(310) 694-0515,993473,"$15,000 - 800,000",4.9,79,https://www.houzz.com/trk/aHR0cHM6Ly9iaXQubHkvM2Q4TzhxTw/191818834a1e789293f8cb46938dbc51/ue/MTYzMTA1NTc/5bbc30ecdb74660b522bdd712f36cb49,https://www.houzz.com/professionals/general-contractors/luxe-remodel-pfvwus-pf~93257645
Baron Construction & Remodeling Co.,"Saratoga & Los Angeles, California, United States",95070,(408) 647-7488,991076,"$10,000 - 10 million",4.8,69,https://www.houzz.com/trk/aHR0cDovL3d3dy5iYXJvbmNuci5jb20/581f3a14a63e525e810eaf815421775e/ue/MTQ4MzEyODE/15eb891066459723141399a22cf02155,https://www.houzz.com/professionals/general-contractors/baron-construction-and-remodeling-co-pfvwus-pf~1544508757
Innovative Construction Inc.,"3040 Amwiler Rd Suite B Peachtree Corners, Georgia, United States",30360,(404) 400-2406,None,"$75,000 - 1 million",5.0,100,https://www.houzz.com/trk/aHR0cHM6Ly9pbm5vdmF0ZWF0bGFudGEuY29tLw/7aef063419a0f62049ca085d9705ed86/ue/OTI5Mg/b270bb040799bb3413164584ba384d59,https://www.houzz.com/professionals/general-contractors/innovative-construction-inc-pfvwus-pf~662795256
SOD Home Group,"367 Santana Heights Unit #3-3021 San Jose, California, United States",95128,(800) 401-3220,942085,"$10,000 - 5 million",5.0,238,https://www.houzz.com/trk/aHR0cHM6Ly9zb2RoZy5jb20v/59c004bffde8dfe4f837d9762fe3dfdf/ue/MTc4MTYw/77609f3b7e9af0e8aa098776dd57081e,https://www.houzz.com/professionals/general-contractors/sod-home-group-pfvwus-pf~1577147072
John Kraemer & Sons,"4906 Lincoln Drive Edina, Minnesota, United States",55436,(952) 935-9100,MN-,None,5.0,61,https://www.houzz.com/trk/aHR0cDovL3d3dy5KS2FuZFNvbnMuY29t/313733cb378e730c5033d48972208e03/ue/NTIwODEw/9a62cff14cb4fc3828c0d7e4901678aa,https://www.houzz.com/professionals/general-contractors/john-kraemer-and-sons-pfvwus-pf~1795231386
Top Rated General Contractors,"7817 Pacific Ave. Suite B Tacoma, Washington, United States",98408,(253) 338-1689,TOPRARG792JG,"$25,000 - 1 million",5.0,115,https://www.houzz.com/trk/aHR0cHM6Ly9nZW5lcmFsY29udHJhY3RvcnNlYXR0bGUudXMv/5cd87fae1220540852f54b0aa044dd6d/ue/NjYxODU4MjY/13a53abeb2c3743707c4f65a40e6145d,https://www.houzz.com/professionals/general-contractors/top-rated-general-contractors-pfvwus-pf~2050912026
MLM INCORPORATED,"1400 Distributors Row Elmwood, Louisiana, United States",70123,(504) 708-5287,881773,"$15,000 - 2 million",4.9,84,https://www.houzz.com/trk/aHR0cDovL1dXVy5NTE0tSU5DLkNPTQ/b98deede353f296e1bdef9488da81f4b/ue/NDI3MDEyMQ/32ce69e16844bfde8c089b1a7f9ea2c2,https://www.houzz.com/professionals/general-contractors/mlm-incorporated-pfvwus-pf~1829069629
Streamline Construction,"23632 Via Fabricante Suite F Mission Viejo, California, United States",92691,(562) 280-2384,991086,None,5.0,65,https://www.houzz.com/trk/aHR0cDovL3d3dy5TdHJlYW1saW5lQ29uc3RydWN0aW9uU2VydmljZXMuY29t/e320a280bbe9f778d2439a3b7704b808/ue/MTQ1OTQxNjE/6daf09634f98d4dd705d44bbbf2981a9,https://www.houzz.com/professionals/general-contractors/streamline-construction-pfvwus-pf~1544329913
"H&A My Design, Inc.","6700 Fallbrook Ave. Suite 235 West Hills, California, United States",91307,(800) 285-3002,999603,0 - ,5.0,95,https://www.houzz.com/trk/aHR0cDovL3d3dy5obmFteWRlc2lnbi5jb20/64eb9f347528b26c58f5234e2020e1f9/ue/MjkwODgwNzE/1cd309f3bc5adf36cbac866b0e4e1557,https://www.houzz.com/professionals/general-contractors/handa-my-design-inc-pfvwus-pf~815451179
Gallery Kitchen & Bath,"63 Flushing Avenue Building 212, Suite 301 Brooklyn, New York, United States",11205,(646) 713-0372,1472276,"$100,000 - 4.5 million",4.9,64,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZ2FsbGVyeWtibnkuY29tLw/704b1d21b39d0a74b28783a908b2c457/ue/MTc4OTAyNzU/109bcac9c4e0ff4f0e610dd23c529251,https://www.houzz.com/professionals/general-contractors/gallery-kitchen-and-bath-pfvwus-pf~2014346755
US Home Developers Inc,"19737 Ventura Blvd Suite 310A Woodland Hills, California, United States",91364,(888) 407-9905,947505,"$10,000 - 1 million",4.9,85,https://www.houzz.com/trk/aHR0cDovL3VzaG9tZWRldmVsb3BlcnMuY29t/2c1a9369fdbd12b510a52f1c0c2cf4a8/ue/MzkwMDYwNQ/8abc9fd864e955afb6e012faa0646bba,https://www.houzz.com/professionals/general-contractors/us-home-developers-inc-pfvwus-pf~1166199285
"Dynamic Air Climate Solutions, LLC","3902 Richland Drive Huntsville, Alabama, United States",35810,(256) 937-9371,AL,$89 - N/A,5.0,137,https://www.houzz.com/trk/aHR0cDovL3d3dy5keW5hbWljYWlyY2xpbWF0ZXNvbHV0aW9ucy5jb20/42ad935d35ae29099fac87b3dbfc4f47/ue/MTM0NTIyNDI/6884321957a1e3088537c44720c0753b,https://www.houzz.com/professionals/general-contractors/dynamic-air-climate-solutions-llc-pfvwus-pf~437101954
BasementRemodeling.com,"1680 E Gude Dr. STE 313 Rockville, Maryland, United States",20850,(877) 224-2434,102925,"$25,000 - 150,000",5.0,135,https://www.houzz.com/trk/aHR0cDovL3d3dy5CYXNlbWVudFJlbW9kZWxpbmcuY29t/9d2cb086fa116619015e4f44a3c8b128/ue/NjExODc5MA/4ec71fd495fb4a73c9c001cb21bfd086,https://www.houzz.com/professionals/general-contractors/basementremodeling-com-pfvwus-pf~847553638
Monk's Home Improvements,"1095 Mount Kemble Avenue Morristown, New Jersey, United States",07960,(973) 520-5920,NJHI,"$20,000 - 200,000",4.9,140,https://www.houzz.com/trk/aHR0cHM6Ly9Nb25rc0hvbWVJbXByb3ZlbWVudHMuY29t/6bcdd3b11de6ba9c75dd7b6a2263e4f2/ue/MTg5ODUxOQ/736ef68e1368cf8bc0ce451bfc96cdd0,https://www.houzz.com/professionals/general-contractors/monk-s-home-improvements-pfvwus-pf~276872767
"Hi-Tech Builders, Inc.","5435 Balboa Blvd. Suite 200 Suite 200 Encino, California, United States",91316,(818) 308-1250,957111,"$5,000 - 2 million",4.9,147,https://www.houzz.com/trk/aHR0cDovL2hpLXRlY2hidWlsZGVyc2luYy5jb20v/627629ff3c69a8b574920194f2e89c25/ue/MTQ1ODAzMDQ/8b66c2b7518e6daaa34b6b77231f0233,https://www.houzz.com/professionals/general-contractors/hi-tech-builders-inc-pfvwus-pf~504141336
Fresh Start Contracting Company,"30 B Street Burlington, Massachusetts, United States",01803,(617) 833-9202,None,"$100,000 - 750,000",4.9,79,https://www.houzz.com/trk/aHR0cDovL3d3dy5mcmVzaHN0YXJ0Y29udHJhY3RpbmcubmV0Lw/f873ab242952cbfc78f75acec02102c9/ue/MTY2MzUyNTE/7c7efbc6f292955457a48ccc680c9276,https://www.houzz.com/professionals/general-contractors/fresh-start-contracting-company-pfvwus-pf~1477356779
Mr. & Mrs. Construction & Remodeling,"2570 N 1st street ste 212 San Jose, California, United States",95131,(408) 351-7809,#1068849,"$10,000 - 10 million",5.0,75,https://www.houzz.com/trk/aHR0cDovL3d3dy5NcmFuZG1yc2Nuci5jb20/41e0a56d6fd1d3817104dec7eecd7210/ue/NjMwMjUyMjk/0a64fb76c3bd87891b3219a5902ad2b6,https://www.houzz.com/professionals/general-contractors/mr-and-mrs-construction-and-remodeling-pfvwus-pf~633170617
Patterson Custom Homes,"15 Corporate Plaza Drive Suite 150 Newport Beach, California, United States",92660,(949) 723-1800,802367,$2 million - 15 million,5.0,58,https://www.houzz.com/trk/aHR0cDovL3d3dy5wYXR0ZXJzb25jdXN0b21ob21lcy5jb20/598fef203d01bed632df3cea07bad1ad/ue/MTgwMjUzNg/ba35419119b49f29812716cdf99ac498,https://www.houzz.com/professionals/general-contractors/patterson-custom-homes-pfvwus-pf~1862322604
Lindus Construction/Midwest LeafGuard,"879 Us Highway 63 Baldwin, Wisconsin, United States",54002,(651) 369-8086,WI:,None,4.9,118,https://www.houzz.com/trk/aHR0cDovL3d3dy5saW5kdXNjb25zdHJ1Y3Rpb24uY29t/9989b5315fba5d91510469bf8d4d9d23/ue/Mzk2NTY3NA/4328ca170ff55b3bbca4a01da96e02a8,https://www.houzz.com/professionals/general-contractors/lindus-construction-midwest-leafguard-pfvwus-pf~1795340690
America Green Builders,"Los Angeles, California, United States",91606,(818) 452-2871,1020657,"$10,000 - 4 million",5.0,104,https://www.houzz.com/trk/aHR0cDovL0FtZXJpY2FHcmVlbmJ1aWxkZXJzLmNvbQ/e7109c342cf02ad7b8ed4aa99cd1a3c2/ue/NDAwMzQ2NDk/c6c1085d9b7ad026475b5270896c33ed,https://www.houzz.com/professionals/general-contractors/america-green-builders-pfvwus-pf~220684201
Luxury Remodels Company,"8350 E Evans Rd STE B7 Scottsdale, Arizona, United States",85260,(480) 550-8774,ROC304366,"$55,000 - 8.5 million",4.9,79,https://www.houzz.com/trk/aHR0cHM6Ly93d3cubHV4cmVtb2RlbHMuY29t/63283580148775b26ecac3c3846e2ba5/ue/MTM5MjQ2NTI/18ac85afd070b85760afd771a23cc9b9,https://www.houzz.com/professionals/general-contractors/luxury-remodels-company-pfvwus-pf~1737242156
Alair Homes Plano,"305 W. Spring Creek Pkwy Unit 104C Plano, Texas, United States",75023,(214) 730-6292,NARI,"$250,000 - 4 million",5.0,55,https://www.houzz.com/trk/aHR0cDovL3d3dy5hbGFpcmhvbWVzLmNvbS9wbGFubw/aae85631054e060d47ef6f8ea1991cdc/ue/MTU5NjY4/a582e9a94ff67dbdd1239c3d0b1a6d02,https://www.houzz.com/professionals/general-contractors/alair-homes-plano-pfvwus-pf~1451317060
NA Design Builders,"West Hollywood, California, United States",90069,(310) 361-4810,996566,"$15,000 - 5 million",5.0,79,https://www.houzz.com/trk/aHR0cDovL3d3dy5uYWRlc2lnbmJ1aWxkZXJzLmNvbQ/4be71f4ac98fd9fbd8f894df5ec540a0/ue/Mjg4Mjk5MDA/dcb3a15381572bcd29f7a1e3bc320859,https://www.houzz.com/professionals/general-contractors/na-design-builders-pfvwus-pf~664407856
"Before and After Builders, Inc.","6000 Poplar Ave. Ste 250 Memphis, Tennessee, United States",38119,(901) 567-2071,75121,None,5.0,78,https://www.houzz.com/trk/aHR0cDovL3d3dy5iZWZvcmVhbmRhZnRlcmJ1aWxkZXJzLmNvbQ/d0e399290436a10502a0d375a3c06730/ue/OTkwNjUwMQ/7cc869baa6481a6b473f26a350df919c,https://www.houzz.com/professionals/general-contractors/before-and-after-builders-inc-pfvwus-pf~881328937
Averon Construction,"Houston, Texas, United States",77008,(281) 985-9591,TX122793,"$50,000 - 3 million",5.0,101,https://www.houzz.com/trk/aHR0cDovL3d3dy5BdmVyb25Db25zdHJ1Y3Rpb24uY29t/a7581a477da666d46089c4920c2e3a74/ue/NTc5NTU5MzA/e36709b1d3c3eec0002750160e70009c,https://www.houzz.com/professionals/general-contractors/averon-construction-pfvwus-pf~188101850
DJK Custom Homes,"26013 Stewart Ridge Dr Plainfield, Illinois, United States",60585,(630) 590-0619,None,"$400,000 - $5,000,000",4.9,64,https://www.houzz.com/trk/aHR0cDovL3d3dy5kamtob21lcy5jb20/5e224e5b27a94cf4099dff14a90070f1/ue/MTI4NDAwOQ/151eadaeb4d52db5535ca1abcfb56bd9,https://www.houzz.com/professionals/general-contractors/djk-custom-homes-pfvwus-pf~1828735173
FIDELITY Builders and Design,"Van Nuys, California United States",None,(877) 405-0409,1022172,"$25,000 - 400,000",5.0,113,https://www.houzz.com/trk/aHR0cDovL2ZpZGVsaXR5YnVpbGRlcnNhbmRkZXNpZ24uY29tLw/4cf7b8213e33f6a6a577b01b6084d46c/ue/Mzc5OTYyOTI/9e191bd9c3ba22104314ec299acf52e1,https://www.houzz.com/professionals/general-contractors/fidelity-builders-and-design-pfvwus-pf~916803020
Visionary Home Remodeling Inc.,"1580 Oakland Road Suite C103 San Jose, California, United States",95131,(760) 678-8811,1001351,"$20,000 - 1 million",4.7,78,https://www.houzz.com/trk/aHR0cDovL3d3dy52aHJjYS5jb20/3c381d48e4bb047385922c7b9756a25b/ue/MjQ1Mzg2MDA/7658b2e9d7c556dbbc32df6bf7848d9a,https://www.houzz.com/professionals/general-contractors/visionary-home-remodeling-inc-pfvwus-pf~1863718752
Allen Construction,"201 N. Milpas Street Santa Barbara, California, United States",93103,(805) 884-8777,503300,$500000 - $10 million,5.0,39,https://www.houzz.com/trk/aHR0cDovL3d3dy5idWlsZGFsbGVuLmNvbQ/d01a3c4a5ebfcbe99e007694bd7d86d2/ue/MTQ2Mzc4MA/ef7e2e35bb2d416e0c8d3b73ab6129ff,https://www.houzz.com/professionals/general-contractors/allen-construction-pfvwus-pf~1988105440
"Construction Marketing, LLC","550 Booth Road Hardy, Virginia, United States",24101,(540) 339-5279,2705135872,"$15,000 - 1.5 million",4.9,96,https://www.houzz.com/trk/aHR0cDovL3d3dy5jb25zdHJ1Y3Rpb25tYXJrZXRpbmdsbGMuY29t/9892dc1494b1ca5e2a9056bf4fbf91d5/ue/MTI3OTIyMTY/0d027ec8e47f7a6a9b2a29f366746d6b,https://www.houzz.com/professionals/general-contractors/construction-marketing-llc-pfvwus-pf~252527268
EZ Builders inc.,"3301 Barham Blvd Suite 400 Los Angeles, California, United States",90068,(877) 897-2987,902853,"$10,000 - 2 million",4.9,133,https://www.houzz.com/trk/aHR0cDovL3d3dy5lemJ1aWxkZXJzaW5jLmNvbS8/af7b57c4026cf02ccd24c4cd3aae3db0/ue/Mjk2MDI5ODA/47091d0471ed3996ac1ed615a0c62cf9,https://www.houzz.com/professionals/general-contractors/ez-builders-inc-pfvwus-pf~1990019828
Complete Home Care LLC,"1140 Holland Dr Suite Suite 04 Boca Raton, Florida, United States",33487,(561) 717-8703,188956,"$25,000 - 2 million",5.0,100,https://www.houzz.com/trk/aHR0cHM6Ly9jb21wbGV0ZWhvbWUuY2FyZS8/906488715c88203e74e2dad83406a5c3/ue/NDU4MDMzNDA/21c370631090d341969522a54c9a2cd4,https://www.houzz.com/hznb/professionals/general-contractors/complete-home-care-llc-pfvwin-pf~665509832
Beverly Thomas LLC,"105 East Uhler Avenue Alexandria, Virginia, United States",22301,(703) 919-6733,VA,"$10,000 - 500,000",5.0,87,https://www.houzz.com/trk/aHR0cDovL3RvbWJpamFrLmhvdXp6LmNvbQ/1c0377271c864e8aec293c12bd4d1f09/ue/ODgxMDIx/97232a07681d0c60a845e0e53c054f13,https://www.houzz.com/professionals/general-contractors/beverly-thomas-llc-pfvwus-pf~1166124713
The Stucco Doctors,"50 Old Camplain Rd Hillsborough, New Jersey, United States",08844,(908) 398-2468,13VH09369100,"$1,500 - 1.5 million",4.9,115,https://www.houzz.com/trk/aHR0cDovL3N0dWNjb2RvY3Rvci5uZXQ/187d29a3466c2f85798cfdebc904ccef/ue/MzA4MDM5Mw/3685d2992fd3d7140980dbcd6f257011,https://www.houzz.com/professionals/general-contractors/the-stucco-doctors-pfvwus-pf~755204529
"California Construction Center, Inc.","Serving LA & San Francisco Areas, California, United States",91316,(424) 672-3626,&,"$5,000 - 500,000",5.0,86,https://www.houzz.com/trk/aHR0cDovL3d3dy5jYWNvbnN0cnVjdGlvbmNlbnRlci5jb20/54354517583a23f903a6fdccf60bdb82/ue/MTQzMzk4NA/a2f6be62da47d5fa355ddecefa6cab4e,https://www.houzz.com/professionals/general-contractors/california-construction-center-inc-pfvwus-pf~1040199588
Craft Construction & Design,"6615 Farralone Ave Canoga Park, California, United States",91303,(888) 408-7861,None,None,5.0,71,https://www.houzz.com/trk/aHR0cHM6Ly9jcmFmdGNvbnN0cnVjdGlvbi1kZXNpZ24uY29tLw/4080c751644e21fcb6274caf38e1fd5b/ue/NjQyNDEyMDE/6918261bad78c59b8c16e7a6fef9ad6a,https://www.houzz.com/professionals/general-contractors/craft-construction-and-design-pfvwus-pf~1547448925
"Supple Homes, Inc","2087 Avy Ave. Menlo Park, United States",94025,(650) 380-9352,CA,"$750,000 - ",4.9,27,https://www.houzz.com/trk/aHR0cDovL3d3dy5zdXBwbGVob21lc2luYy5jb20/883b78512636bfbb9c1cd38aa39cf64f/ue/NTA2NDQ5/8dd63bf729fb3c1d89a332902b96a880,https://www.houzz.com/professionals/general-contractors/supple-homes-inc-pfvwus-pf~469830169
RL Remodeling,"22817 Ventura blvd Woodland Hills, California, United States",91364,(888) 324-1144,885032,"$10,000 - 4 million",5.0,74,https://www.houzz.com/trk/aHR0cDovL3d3dy5ybC1yZW1vZGVsaW5nLmNvbQ/6ca01d3e8ed8fd67a14b1c69af1efd18/ue/MjIxMjI1Njg/2ea1829266b330dc694f27c58895a177,https://www.houzz.com/professionals/general-contractors/rl-remodeling-pfvwus-pf~789866680
41 West,"Naples, Florida, United States",34102,(239) 208-0241,Florida,"$ 100,000 - $ 5,000,000",4.9,72,https://www.houzz.com/trk/aHR0cDovL3d3dy40MVdlc3QuY29t/1673a81e65c0d1ae2856caab3255cad6/ue/MjY2ODA3Nw/5e6206d12745792cc47e2561cdbca595,https://www.houzz.com/professionals/general-contractors/41-west-pfvwus-pf~1703148253
Eden Builders,"19528 Ventura blvd #242 Tarzana, California, United States",91356,(888) 973-6635,891510,"$25,000 - 2.5 million",5.0,72,https://www.houzz.com/trk/aHR0cDovL3d3dy5lZGVuLWJ1aWxkZXJzLmNvbQ/c8934d086901776f670fc32d6ab66009/ue/NjcwMjU5Ng/3ff630ad7f373747660fc701b61b2174,https://www.houzz.com/professionals/general-contractors/eden-builders-pfvwus-pf~914822620
Michels Homes,"5959 Centerville Road North Oaks, Minnesota, United States",55127,(651) 653-1210,MN,"$500,000 - 6,000,000",5.0,42,https://www.houzz.com/trk/aHR0cDovL3d3dy5taWNoZWxzaG9tZXMuY29t/dce9ac018ca7fd2d95a8ec496bd34439/ue/MTY3MzI0MA/86ed8e654daba7cf2a2bfc976234facd,https://www.houzz.com/professionals/general-contractors/michels-homes-pfvwus-pf~251717948
HX Home Solutions and North Star Stone,"1840 Industrial Drive, Suite #100 Libertyville, Illinois, United States",60048,(224) 880-6000,None,"$1,000 - 2 million",5.0,92,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuaHhob21lLnNvbHV0aW9ucy8/c4f00a520b8d71cb1ea71c6c943b64e6/ue/MTc0NDA2Mw/bd4746ef6e4c28745dfce2340d046eee,https://www.houzz.com/professionals/general-contractors/hx-home-solutions-and-north-star-stone-pfvwus-pf~1098963063
Ferris Home Improvements,"1908 Kirkwood Highway Newark, Delaware, United States",19711,(302) 998-4500,"DE2012101339,PA060834,MD128037",None,4.9,85,https://www.houzz.com/trk/aHR0cDovL3d3dy5GZXJyaXNIb21lSW1wcm92ZW1lbnRzLmNvbQ/924f76e30c49912a37743b3244bf936a/ue/OTQ3MzkwNg/729763e4247d784f3360f9d19580cf66,https://www.houzz.com/professionals/general-contractors/ferris-home-improvements-pfvwus-pf~1510504778
Cielo Construction Company,"6350 Laurel Cyn Blvd 404 North Hollywood, California, United States",91606,(800) 897-3114,983179,"$5,000 - 1 billion",4.9,93,https://www.houzz.com/trk/aHR0cDovL3d3dy5DaWVsb2NvbnN0cnVjdGlvbi5jb20/93cd0a9c2f1abd34368d22cc9e0e0eae/ue/MTY1NzkzNTE/fa8fe541ff51218982c840c3bcf9df36,https://www.houzz.com/professionals/general-contractors/cielo-construction-company-pfvwus-pf~277790223
SES Builders Inc.,"7120 Hayvenhurst Ave ste # 212 Van Nuys, California, United States",91406,(310) 340-6882,1030945,"$25,000 - 10 million",5.0,111,https://www.houzz.com/trk/aHR0cDovL3d3dy5zZXNidWlsZGVyc2luYy5jb20/5db5418b6a6862cc14181649510e33b6/ue/NDA0MzAxMTg/f8b98a1e5a270605d196ceb20b1dbd53,https://www.houzz.com/professionals/general-contractors/ses-builders-inc-pfvwus-pf~1923612446
D&G Construction,"1495 Overlook Dr. Lafayette, Colorado, United States",80026,(970) 633-2393,None,"$50,000 - 1,500,000",4.9,76,https://www.houzz.com/trk/aHR0cDovL3d3dy5ER0hvbWVQcm8uY29t/7980c3fd0975b773d642e4b956b96bb3/ue/MTM0Nzg2NTk/f646e225b7cb48afa95b968b0b2e877e,https://www.houzz.com/professionals/general-contractors/dandg-construction-pfvwus-pf~940419855
Silicon Valley Builder,"Palo Alto, California, United States",94306,(408) 667-8769,1018401,None,5.0,51,https://www.houzz.com/trk/aHR0cDovL3N2YnVpbGRlci5jb20v/ae210d233d8e099f887b81883f1c9930/ue/MTAwODQ1MjA/2e27201f901925ca5b97b8e0f4e5a304,https://www.houzz.com/professionals/general-contractors/silicon-valley-builder-pfvwus-pf~1862856628
Brother & Brother Builders,"1630 Oakland Rd #A211 San Jose, California, United States",95131,(888) 412-2632,887389,None,5.0,93,https://www.houzz.com/trk/aHR0cDovL2Jyb3RoZXJhbmRicm90aGVyYnVpbGRlcnMuY29t/2b71e1cbed136db31d201c48b7f5a5bf/ue/MzA3NTg5Mjk/65d770ce14e084f4bdec8b8952529aac,https://www.houzz.com/professionals/general-contractors/brother-and-brother-builders-pfvwus-pf~471606333
Green Works Construction & Design Inc,"Woodland Hills, California, United States",91364,(888) 961-5277,936962,"$25,000 - 2 million",4.9,63,https://www.houzz.com/trk/aHR0cHM6Ly9ncmVlbndvcmtzY29uc3RydWN0aW9uLmNvbS8_c3QtdD1ob3V6eg/79bf9dd5b4a80a2230ba11bc6d515f5e/ue/ODIzNzgzMg/e2aee426448c4f064012069c79e04f8e,https://www.houzz.com/professionals/general-contractors/green-works-construction-and-design-inc-pfvwus-pf~788966028
SPRUILL Remodel,"Dallas, Texas, United States",75206,(214) 247-7109,None,"$100,000 - 1,000,000",4.9,29,https://www.houzz.com/trk/aHR0cHM6Ly9zcHJ1aWxscmVtb2RlbC5ob3V6enNpdGUuY29t/7190c22678b5a6eebdee10800d2312af/ue/MjAyMzIzMDU/1c8eb30a5e51cbaaf5045c60ba785286,https://www.houzz.com/professionals/general-contractors/spruill-remodel-pfvwus-pf~1544698425
